LE,gammaE,loglik
26.33795,0.5245806,-147.3995
42.725563,0.41759124,-148.53468
25.521751,0.42234623,-147.53459
28.727877,0.56346023,-148.05307
20.814478,0.5868176,-147.02432
10.76287,0.6998706,-147.21663
24.297863,0.5107356,-147.18097
24.797356,0.47731864,-147.24698
13.768093,0.6325431,-146.79355
20.550564,0.5777598,-146.9686
18.481915,0.62894624,-146.93594
16.34169,0.6756905,-146.92172
10.917704,0.56829435,-147.45668
7.4361386,0.49294114,-149.19191
7.4204206,0.44565904,-149.47783
6.614139,0.5267806,-149.543
7.504921,0.54607344,-148.92249
33.504982,0.48266634,-147.9927
26.492582,0.49604577,-147.34451
26.51004,0.54167116,-147.50714
29.447132,0.5507407,-148.03052
26.957985,0.5329244,-147.51276
22.60235,0.5870904,-147.25204
13.270913,0.7579962,-147.1312
10.622331,0.7974346,-147.51453
11.044199,0.5272328,-147.64774
16.581171,0.4605627,-147.36084
16.573698,0.6290254,-146.77939
21.767424,0.5310634,-147.00586
20.643913,0.43200356,-147.44122
32.04121,0.47541133,-147.80305
30.687563,0.47487834,-147.67393
12.181524,0.5941925,-147.07321
12.799161,0.6257055,-146.89568
14.090286,0.6305841,-146.77556
8.501319,0.7947987,-148.3003
9.446111,0.79457307,-147.84552
15.315033,0.67255914,-146.8276
12.503342,0.8050587,-147.4305
12.630421,0.77806896,-147.2385
12.2362385,0.7903857,-147.31708
28.899233,0.51267254,-147.63641
16.816463,0.6498177,-146.85379
14.71668,0.7098571,-146.94734
15.161865,0.7354732,-147.15901
14.3678465,0.58068675,-146.84837
24.241545,0.6012804,-147.6398
20.480782,0.5096863,-146.98422
18.457981,0.5982211,-146.83928
18.701735,0.529441,-146.89177
24.639643,0.55191976,-147.32469
18.78455,0.42124182,-147.59863
10.47707,0.5206681,-147.83958
14.783709,0.6070125,-146.76584
9.149119,0.67436177,-147.77919
36.712017,0.45395756,-148.1658
28.28047,0.27848426,-149.46143
30.518194,0.5810913,-148.68062
34.387096,0.28955966,-149.24124
33.082657,0.30302384,-148.99976
18.34924,0.67123693,-147.17523
15.824668,0.6587956,-146.81204
14.449593,0.601098,-146.79214
23.1568,0.5829374,-147.30534
16.942442,0.7832921,-148.15723
17.06859,0.74526393,-147.65121
13.698675,0.68945223,-146.84276
13.063671,0.8580365,-148.06096
7.8369617,0.8367251,-148.91118
18.859741,0.7988031,-149.28845
17.369476,0.75544137,-147.87387
16.068777,0.45667395,-147.43192
34.63156,0.5186291,-148.49124
17.879667,0.39199436,-147.96906
19.38535,0.6608595,-147.27667
19.38535,0.6608595,-147.27667
12.6104355,0.69926596,-146.91599
18.945356,0.68607855,-147.42844
10.827381,0.6420789,-147.23796
12.720578,0.61153156,-146.9362
15.414919,0.5041766,-147.12654
7.5024486,0.7627635,-148.882
15.594959,0.42127103,-147.81508
24.10019,0.49075514,-147.18192
9.852709,0.6671911,-147.50232
8.155184,0.5346737,-148.62689
10.742996,0.54933274,-147.59843
7.777734,0.56940794,-148.68915
