E,EA,EAS
-148.03766294182384,-148.43834102852446,-145.73776
-147.95190061097207,-148.4797552864772,-145.80763
-147.97993939193,-148.39349234204752,-145.91664
-147.9354893685955,-148.46625799365688,-145.5846
-148.10227518835978,-148.30177865551832,-145.79813
-148.10758010116692,-148.4667908778,-145.90756
-148.00677623927112,-148.3457198571561,-145.90872
-148.1022762525057,-148.49971357541196,-146.01097
-148.01969159742396,-148.42972270635144,-145.57301
-147.98432823761306,-148.05744484479595,-145.56912
-148.06333981341666,-148.68103774113237,-146.15761
-147.90116650776469,-148.1772912692548,-145.74179
-147.89477199971233,-148.1935343820274,-145.95114
-148.1653279106779,-148.1935343820274,-146.08691
-147.8082546912018,-148.54856025084257,-146.17844
-148.16675156327574,-148.30682836259865,-145.79807
-148.17451164996103,-148.3751312566867,-145.58101
-148.10196391702198,-148.35622602818847,-146.10329
-147.9107003702769,-148.18122045574853,-146.27635
-148.17311653651106,-148.49696784149145,-145.41452
-148.18971004582494,-148.3966785512777,-145.50565
-148.03366714066723,-148.3123111179129,-145.52666
-147.90215506082245,-148.26567382981432,-145.76279
-148.0424695491257,-148.33701124863,-145.87393
-148.14072953261956,-148.20958332397723,-145.79045
-148.09187986255216,-148.5392522247105,-145.79228
-148.06083264884361,-148.45035921415428,-145.7023
-148.10085642715984,-148.39533297846876,-146.34062
-147.97719871759915,-148.2108033190641,-145.8812
-148.1447410972693,-148.40616135239495,-145.87698
-147.8978660445029,-148.40616135239495,-145.79198
-148.14528505437582,-148.33679486871782,-146.0217
-147.91676980833478,-148.34580393037004,-145.92702
-147.91271523791977,-148.18476377322486,-146.17856
-148.0641254747372,-148.2351733899925,-145.97743
-148.1065545873967,-148.18300082494312,-145.55951
-147.993029226321,-148.17342217287472,-145.99533
-148.03731164168283,-148.58236149130306,-146.02621
-148.0561767654334,-148.60408377377635,-145.9212
-148.0154040154781,-148.41072136222755,-145.92834
-148.23543947285214,-148.51542632736854,-145.75217
-148.0406597242173,-148.40251313762252,-145.61115
-147.92744296111877,-148.21389065711963,-145.52736
-147.90492078967452,-148.33295845948405,-146.19905
-147.75909157757965,-148.21046973385882,-145.76077
-147.81845414302828,-148.36617348352354,-145.66339
-148.13040101286802,-148.50486617984876,-145.98978
-147.87731449330215,-148.31805181561816,-145.94125
-147.8216748404846,-148.41153419689707,-146.09831
-147.7607811219315,-148.2758372677863,-146.08783
-147.91579160998518,-148.29261690925478,-145.86415
-147.98215543173274,-148.3048974706588,-145.80717
-147.94770938775955,-148.37781819070847,-145.81519
-147.9989155539759,-148.52924241035953,-146.25677
-148.03644753956698,-148.34195555691403,-145.40276
-147.92920102912908,-148.5243409575927,-145.46808
-148.09177493381821,-148.2456180823517,-145.57767
-147.9118899189778,-148.32034037234635,-145.89468
-147.81304447322077,-148.5681425619512,-146.0202
-148.0093476550989,-148.29169746887442,-146.17117
-147.99710747052478,-148.1430719092689,-145.43173
-147.96568071529157,-148.390887667853,-145.98273
-148.06192816635132,-148.4976072162802,-145.95624
-148.05868053302012,-148.65840607175247,-145.72371
-148.19839858518316,-148.40628234153732,-146.03691
-148.1529887036375,-148.36307719666792,-145.92172
-148.02038819695133,-148.6427229642378,-146.15082
-148.1671655133573,-148.29324019171045,-146.01233
-147.96621676278806,-148.5584006774799,-145.81259
-147.933666937468,-148.76313580927317,-145.7529
-147.90155166366105,-148.18357881806563,-146.08368
-147.93571961135854,-148.16414741924393,-145.99658
-148.04488160115392,-148.37936417492256,-145.79239
-148.0343947023388,-148.47147294299225,-146.14223
-148.00493649245198,-148.06718928971,-145.88199
-148.0347361169567,-148.06767780428098,-146.17068
-147.90797348916985,-148.49482431179314,-146.03923
-148.13657696909416,-148.25468502233886,-145.89148
-147.9999599450899,-148.22528215321336,-146.11256
-147.98826285069646,-148.54447989133266,-146.01767
-148.0055902600482,-148.3524732418934,-145.97742
-147.95475947539856,-148.54176836028037,-146.06439
-148.15051339486143,-148.1704525193636,-146.00343
-147.98122883856425,-148.3486359749865,-145.90376
-148.08850553212886,-148.05577460385433,-146.10059
-148.18497076159477,-148.57396501444066,-145.94641
-148.0583358030771,-148.31979686821796,-145.86253
-148.18600060309456,-148.35646151150996,-145.97148
-147.88265181911805,-148.47132071142278,-145.87659
-147.86163271551652,-148.61323275837324,-145.89185
-147.85771379005462,-148.61330801803172,-145.5673
-148.21517779601024,-148.5439296922724,-145.66806
-147.80459265771128,-148.1188569231042,-146.08311
-148.0471871560627,-148.1188569231042,-146.09448
-148.01772473974918,-148.27338402401855,-145.54832
-147.95554061021616,-148.28213236962782,-145.5177
-148.03220458066488,-148.45212488048963,-145.82025
-148.12282603713362,-148.119690576277,-146.36221
-148.15236331695638,-148.2560673824692,-145.8278
-147.94354873153645,-148.36962959756576,-146.06564
