LE,gammaE,loglik
26.626072,0.5502971,-71.78086
17.586554,0.7091621,-72.135025
14.261028,0.8284641,-72.83202
17.390978,0.75547475,-72.18646
20.340729,0.8463718,-72.44092
12.205036,0.67561984,-73.23505
13.406202,0.66376555,-72.93938
15.233009,0.55630547,-72.856865
20.82029,0.57426995,-72.07249
18.50362,0.7081814,-72.02719
24.615446,0.70233196,-71.662384
16.489517,0.8130481,-72.43995
12.926001,0.9051334,-73.44107
13.366018,0.8011161,-72.95415
25.09986,0.7256274,-71.72442
22.00166,0.64346975,-71.77798
23.326355,0.7594068,-71.86951
26.399794,0.55356467,-71.778534
13.962654,0.883326,-73.12315
17.199017,0.5293704,-72.6732
17.789848,0.96607935,-73.792915
16.828247,0.95652264,-73.58748
10.734232,0.9251809,-74.127045
11.208661,0.8558567,-73.695526
20.055614,0.68220675,-71.88524
20.466648,0.6024477,-72.00552
25.560509,0.70262176,-71.65115
23.406654,0.76697206,-71.90833
52.752327,0.5313919,-71.79936
18.188278,0.8298728,-72.36943
21.42992,0.67901385,-71.78075
18.802683,0.6171364,-72.13513
26.163933,0.4731524,-72.19686
28.908165,0.4514996,-72.19652
14.50514,0.62663,-72.772896
13.217794,0.61159444,-73.08673
13.01836,0.5715261,-73.23831
20.154158,0.38492835,-73.18906
8.972703,0.3429989,-74.81987
13.136413,0.29666534,-74.39582
13.726588,0.2722232,-74.47281
13.05561,0.26902312,-74.555084
11.012244,0.27470773,-74.7491
13.409607,0.18845993,-75.03934
13.276432,0.19086039,-75.02986
9.328295,0.20157656,-75.27946
12.740728,0.22977577,-74.810715
23.623009,0.80141395,-72.14572
18.014477,0.7561156,-72.11826
27.549063,0.60610026,-71.582794
32.85324,0.7069983,-71.87077
51.77171,0.50744945,-71.74766
20.860756,0.57204324,-72.0775
57.464725,0.6786324,-73.86105
33.49903,0.71888125,-72.01035
27.153276,0.61854047,-71.575386
29.110182,0.53021395,-71.76235
38.867126,0.51436067,-71.64116
94.519455,0.45899153,-72.65287
113.61947,0.47107834,-73.42432
11.211309,0.8548888,-73.691765
30.959183,0.6851791,-71.66049
32.531513,0.6117925,-71.5179
35.78207,0.5501326,-71.567474
24.046818,0.5990315,-71.74785
69.83865,0.393355,-72.129845
15.134024,0.8769479,-72.914
22.714607,0.6799812,-71.70501
35.858368,0.6719397,-71.78868
42.623913,0.44733316,-71.88568
37.99019,0.55765253,-71.557076
16.619555,0.8177913,-72.443085
21.365599,0.7142708,-71.797676
33.450317,0.55095166,-71.58548
34.805283,0.5448401,-71.586075
40.734497,0.5537758,-71.58188
18.94155,0.77431136,-72.07919
23.929443,0.4848286,-72.26403
19.96111,0.51029307,-72.44878
18.967447,0.5502587,-72.36216
16.884338,0.53858244,-72.67497
22.105593,0.4807849,-72.42108
36.90782,0.5570356,-71.55439
8.873212,0.6819943,-74.423775
14.324742,0.52507323,-73.135895
114.16858,0.46444136,-73.33914
47.629684,0.18867786,-74.14255
44.001053,0.16976139,-74.436264
107.81611,0.44596305,-72.90744
33.966717,0.4147566,-72.259346
20.372364,0.4588655,-72.69781
29.305548,0.49011803,-71.950356
16.322777,0.7915427,-72.394196
17.545856,0.8027986,-72.29111
19.98919,0.6475563,-71.93585
25.20267,0.89191747,-73.528625
33.80278,0.82804793,-73.76461
6.46358,0.7932906,-75.92125
7.500476,0.7361365,-75.16728
56.72049,0.6980415,-74.26316
15.250438,0.42374584,-73.46205
20.611576,0.6626068,-71.85638
35.882492,0.2918293,-73.22072
42.89507,0.444496,-71.89777
