LE,gammaE,loglik
20.310442,0.7050471,-135.80728
9.488089,0.78607583,-135.69595
15.984352,0.8903817,-135.92938
16.342516,0.90542424,-136.39154
12.565823,0.9066719,-134.72949
11.31399,0.8379275,-134.75354
18.319658,0.7095534,-135.40993
18.701752,0.6607908,-135.57132
12.41613,0.8142724,-134.73048
12.010573,0.8765641,-134.61925
12.617151,0.93863887,-134.90366
14.5189,0.7690289,-134.8763
11.993973,0.8749752,-134.61943
8.589816,0.78268236,-136.25389
10.18251,0.87885475,-134.82285
8.981182,0.95782703,-134.96782
9.392528,0.97147155,-134.79512
19.036146,0.70240927,-135.5342
13.26537,0.7724449,-134.85118
16.05676,0.85764694,-135.55356
15.127241,0.77469826,-134.92278
14.466242,0.7723858,-134.86575
16.025324,0.6964201,-135.21309
19.715714,0.68183315,-135.6541
10.625631,0.89588034,-134.67029
9.630834,0.80521166,-135.47418
12.195705,1.0636626,-136.22885
8.812405,0.8416441,-135.64427
17.312057,0.65478647,-135.51012
17.293936,0.78196555,-135.37851
13.4860935,0.7912315,-134.7815
12.143178,0.90954816,-134.66437
11.146341,0.76863533,-135.19873
11.650723,0.77573746,-135.02705
12.624075,0.84980685,-134.65741
12.533199,1.0062014,-135.53526
11.362764,0.9772883,-134.77988
9.97416,0.91053945,-134.76538
23.272537,0.63538015,-136.30836
22.247122,0.6396864,-136.12221
21.737381,0.6209682,-136.09709
21.91897,0.53876257,-136.81772
19.93664,0.86335343,-137.94278
17.22385,0.84379065,-135.91757
16.306473,0.8447307,-135.52547
12.885427,0.81402034,-134.71855
13.823587,0.6702931,-135.51352
17.000057,0.7375005,-135.19409
17.131401,0.6435342,-135.58925
18.080845,0.6147973,-135.85583
20.854355,0.5207077,-137.04218
19.957726,0.64545566,-135.77353
11.556654,0.71128935,-135.57047
13.970013,0.8035022,-134.7839
9.117953,0.86605966,-135.31061
23.881054,0.6723915,-136.56036
15.193071,0.8157146,-134.98898
14.522144,0.69053197,-135.27147
22.327093,0.52684796,-136.99081
22.084343,0.5299899,-136.93903
10.433224,0.8135411,-135.09717
10.125696,0.7866719,-135.40262
12.655703,0.87190896,-134.66435
19.230457,0.7416881,-135.69664
15.245013,0.9195546,-135.94128
15.209617,0.8949747,-135.58597
12.555598,0.8709924,-134.65324
11.96701,0.75481814,-135.10779
8.827606,0.79830843,-135.96706
16.897274,0.93344367,-137.4201
15.727547,0.90085167,-135.9401
13.773697,0.6407271,-135.82907
24.503654,0.7031773,-137.0492
15.385627,0.5808756,-136.37115
16.41971,0.8446632,-135.5712
16.41971,0.8446632,-135.5712
11.789455,0.874445,-134.61783
15.138264,0.879124,-135.38052
9.765936,0.8649041,-135.02635
11.085672,0.8878458,-134.63123
10.479193,0.9496223,-134.62828
9.627078,0.7912494,-135.58527
9.583637,0.7516553,-135.94862
19.00777,0.6076398,-135.9502
10.347977,0.81166077,-135.13805
8.829884,0.7023774,-136.86409
10.53626,0.7551593,-135.50339
8.180183,0.8002433,-136.4
7.9191866,0.78130496,-136.76744
19.637085,0.45170644,-138.3306
16.023672,0.6855356,-135.27486
16.171297,0.7117492,-135.15092
16.534096,0.70805323,-135.19058
19.471905,0.8053273,-136.43977
17.60853,0.7043616,-135.31119
15.97509,0.715205,-135.12546
10.535331,0.8002089,-135.15372
12.085631,0.8203084,-134.73172
13.972331,0.90718323,-135.15831
9.9272,1.0269903,-134.79797
9.9272,1.0269903,-134.79797
12.997123,0.7700535,-134.87729
10.928616,0.83745253,-134.8266
13.664886,0.82340825,-134.74695
10.9819145,0.81373453,-134.94052
10.644854,0.83201927,-134.92296
12.642008,0.952789,-135.01602
13.375527,0.66338575,-135.64774
12.080771,0.8005839,-134.8151
9.156485,0.894689,-135.13234
9.348752,0.8376351,-135.37648
10.493559,0.881347,-134.73761
13.489487,0.7454141,-134.97409
12.359388,0.76062006,-135.0007
10.822789,0.8558572,-134.76642
11.181625,0.93601483,-134.61691
13.198767,0.8152399,-134.72156
8.829134,1.0783381,-135.05695
10.378296,0.90687436,-134.6857
10.001211,1.0693083,-135.05676
12.78251,1.018728,-135.88892
12.898011,0.9101316,-134.82144
14.174515,0.70809686,-135.16481
10.603992,0.6704473,-136.32129
19.936905,0.78301376,-136.32907
10.624769,0.6704359,-136.3132
12.0658865,1.0377088,-135.68575
9.835829,0.67522526,-136.604
8.696146,0.77717936,-136.23105
11.66194,0.8473421,-134.67822
10.026012,1.040924,-134.87234
10.574023,0.9308233,-134.62357
13.397671,0.78653413,-134.79492
25.978868,0.7152622,-137.81505
6.9194965,1.0051265,-136.39882
7.081339,1.0135355,-136.18791
13.334545,0.9180394,-135.00421
10.672143,0.95082706,-134.62286
11.314474,1.0178803,-135.05219
13.202758,0.7319996,-135.08255
13.405576,0.7873736,-134.79225
13.887062,0.8259643,-134.77408
13.063475,0.92691773,-134.97307
13.871321,0.9954839,-136.3041
8.528441,0.9551736,-135.20341
8.110896,0.92717534,-135.59908
19.885,0.75970626,-136.0404
17.206362,0.4820192,-137.8516
10.115118,0.68454427,-136.37039
10.079554,1.0786834,-135.1582
8.422224,1.1247593,-135.35025
9.651551,1.1097176,-135.3233
9.622936,1.1035042,-135.25473
15.425754,0.662482,-135.45146
10.809658,0.6959987,-135.96454
21.99817,0.68740284,-136.14998
20.007484,0.5441193,-136.6956
10.722256,0.6899264,-136.06117
10.984263,0.673254,-136.14674
8.297032,1.0233356,-135.17993
13.189733,0.94459486,-135.16916
14.934719,0.81668675,-134.93637
13.563024,0.70998216,-135.20279
15.954414,0.7160573,-135.12097
13.412433,0.80255014,-134.7526
12.216367,0.6242893,-136.35101
12.381411,0.5986872,-136.64816
13.067216,0.8307678,-134.69547
10.195327,0.9945687,-134.69937
9.123837,0.9486215,-134.93353
8.840237,0.93388945,-135.11343
10.728235,1.0333027,-134.97595
6.640539,0.78598744,-137.99622
16.589088,0.9014831,-136.4794
16.388323,0.73648906,-135.10846
15.293307,0.8675861,-135.33525
13.08864,0.8371765,-134.69275
13.827448,0.855709,-134.82039
13.018568,0.8506027,-134.68689
11.240735,0.93888783,-134.62553
9.929476,0.85059106,-135.04446
13.16852,0.9089399,-134.89084
9.071209,1.0054429,-134.86732
10.365217,1.1623397,-136.56639
17.211023,0.8149752,-135.5929
9.389955,0.87638545,-135.11975
11.204362,0.8360176,-134.77972
12.4768095,0.86784965,-134.64499
13.915993,0.8781121,-134.93686
12.711798,0.778036,-134.8602
11.051226,0.87800115,-134.65634
10.66718,0.93208134,-134.61621
10.7721,1.0210979,-134.89928
8.006854,0.9252305,-135.68797
8.5428295,0.92190385,-135.33261
9.629259,0.8482191,-135.17804
11.575882,0.86433643,-134.64133
10.702998,0.96541893,-134.64574
10.625965,0.9298558,-134.61987
10.004013,1.0602857,-134.99002
7.184966,1.1882505,-136.23233
7.9933615,1.1197056,-135.4577
7.83207,1.1291529,-135.56786
7.863149,1.0598136,-135.4221
12.398568,0.9106905,-134.71053
15.213976,0.7214252,-135.06683
8.683308,1.1020266,-135.18481
7.7234135,0.9581689,-135.76459
8.385643,1.1198045,-135.33063
14.239828,0.8178188,-134.81613
11.009265,0.8456345,-134.7732
10.703958,0.82619166,-134.93967
12.758813,0.78524315,-134.8227
12.769634,0.72888577,-135.16042
15.271056,0.8291388,-135.06274
14.060805,0.8722687,-134.9469
6.6890936,1.0329075,-136.60413
6.829508,1.2314531,-136.79025
9.782278,1.0278939,-134.79808
9.042559,0.95975304,-134.93712
11.945459,0.80010873,-134.83456
12.463849,0.98811173,-135.2745
15.102027,1.0331913,-138.54343
13.714044,0.9646968,-135.67996
11.648905,0.87718207,-134.61676
9.047685,1.0858456,-135.06662
6.8934236,0.9991774,-136.44989
11.682619,1.1382829,-137.43839
10.55253,1.1210866,-135.94092
10.363096,1.1005783,-135.51862
8.189509,0.95142204,-135.43265
10.837347,0.78428876,-135.17216
11.031299,0.7887158,-135.08606
17.886442,0.82979494,-136.04352
18.58405,0.83013195,-136.39038
11.499435,0.838734,-134.72432
11.497596,0.9337475,-134.63861
9.433356,0.97023535,-134.78523
14.018552,0.8814426,-134.9866
9.748249,0.8763671,-134.97394
8.4547825,0.9485088,-135.27167
15.922472,0.977702,-137.72699
11.641918,1.0093386,-135.10767
11.665552,1.0373901,-135.43169
11.376165,0.9124891,-134.60246
13.542115,0.8210942,-134.73595
22.115583,0.70437574,-136.28369
24.712595,0.7146438,-137.29013
10.675243,1.172513,-137.12906
10.47442,1.1290191,-136.01807
10.363737,1.0299898,-134.8634
12.745037,0.79101884,-134.7988
15.833133,0.7741144,-135.02402
22.283173,0.5555161,-136.64056
10.477303,1.0313014,-134.89499
11.049859,1.0561413,-135.3273
10.326761,0.7850631,-135.33743
16.079237,0.6958553,-135.21791
15.209562,0.7914822,-134.93906
9.64845,0.97732645,-134.73055
10.396622,1.0046647,-134.74297
12.052632,0.9751304,-134.97305
11.9618635,0.93331444,-134.70735
12.9546585,0.85141987,-134.68097
19.053093,0.6417574,-135.70029
18.994057,0.54565054,-136.67499
16.825018,0.57598525,-136.32388
16.005693,0.6182756,-135.85397
14.05115,0.8190516,-134.79099
9.313463,1.1106279,-135.25055
11.07374,0.9877471,-134.77098
7.643763,0.9424011,-135.90607
9.936827,0.8171463,-135.25365
9.484685,1.2622994,-138.13715
9.484685,1.2622994,-138.13715
8.561502,1.2517772,-136.9318
6.2938623,1.1351044,-137.06143
13.055706,0.89651555,-134.79828
9.50296,0.90675145,-134.9292
11.980793,0.92610407,-134.6856
13.133388,0.75074536,-134.9706
11.065926,1.0086473,-134.8948
9.804306,0.87904537,-134.94078
11.884432,1.0951715,-136.59265
11.149597,0.86052364,-134.69415
6.5292206,1.063686,-136.75458
7.0270014,1.0274653,-136.21024
12.131351,0.9222537,-134.69958
11.153854,0.8666262,-134.67477
14.686806,0.9041552,-135.43964
6.6420884,0.8625994,-137.456
13.882573,0.92515284,-135.28842
11.268972,0.78426665,-135.05557
12.325375,0.98685294,-135.19348
11.496233,0.77380824,-135.07352
11.823259,0.73908657,-135.25845
9.758223,0.6467048,-136.97327
11.277264,1.0920535,-135.99344
11.277264,1.0920535,-135.99344
11.277264,1.0920535,-135.99344
10.588867,1.0293032,-134.90816
9.417269,0.98277193,-134.77945
9.562218,0.9888371,-134.74734
11.330345,0.8680069,-134.65189
9.91797,0.8574356,-135.01044
10.667704,1.0036181,-134.7744
10.126923,0.86846447,-134.88489
10.861217,0.9457204,-134.61816
9.998693,0.90815854,-134.76625
14.283068,0.86413914,-134.96692
13.618679,0.74201626,-134.98526
12.4213,0.7947014,-134.80707
10.971216,0.9711577,-134.68365
12.924111,0.9504247,-135.10905
12.960797,0.8831477,-134.73093
11.546284,0.9442617,-134.67393
10.908971,0.92978615,-134.60657
17.34994,0.6979838,-135.2976
20.116919,0.5882181,-136.18259
17.783382,0.750842,-135.36798
12.579332,0.7949116,-134.7935
9.440353,1.0952646,-135.14687
15.416606,0.8799938,-135.51172
14.394896,0.900553,-135.27213
11.9103775,0.82005984,-134.74908
13.710179,0.90263057,-135.02504
16.938585,0.62299407,-135.77277
13.087925,0.7777417,-134.83623
10.124957,0.45823717,-139.68002
10.262644,0.47489104,-139.32175
9.491833,0.4993843,-139.18915
12.030073,0.53855455,-137.6547
12.79585,0.5329348,-137.55548
12.764314,0.5382007,-137.47446
14.252605,0.538095,-137.18155
15.449255,0.52239954,-137.27853
13.344,0.5498887,-137.15569
17.243496,0.6705831,-135.40816
10.398703,0.76878506,-135.44008
8.450441,0.70108485,-137.12685
12.221252,0.95367205,-134.87619
12.3794365,0.8692363,-134.63834
7.7436976,0.9589782,-135.74387
12.401329,1.0921416,-137.06299
11.798577,1.0839863,-136.27902
14.6110935,0.6381134,-135.74918
13.178947,0.8861659,-134.78522
15.264625,0.5430432,-136.95425
16.303013,0.7007981,-135.20406
12.967289,0.6278086,-136.12878
28.095346,0.614582,-137.2827
24.637781,0.6281462,-136.56972
12.786936,0.7778344,-134.85498
10.412706,0.9368285,-134.63535
7.9539447,1.0464346,-135.3665
8.65471,0.954621,-135.13512
12.231259,0.9636509,-134.94922
9.460887,0.79824924,-135.61096
12.468991,0.9333209,-134.82697
11.941793,0.8807576,-134.61584
11.741659,0.8485833,-134.66843
11.516617,0.9705375,-134.78024
15.717767,0.732629,-135.05005
15.674772,0.7432343,-135.02052
15.780402,0.8265323,-135.19461
13.493273,0.73790777,-135.0178
15.570298,0.822132,-135.10956
16.83309,0.78154504,-135.25345
12.433801,0.7861456,-134.84622
10.248219,0.76195097,-135.5558
12.082076,0.78991437,-134.86856
12.432778,0.8439055,-134.65788
13.308504,0.9474063,-135.2507
10.952538,0.79332685,-135.07613
18.753841,0.730431,-135.52676
17.32359,0.60949695,-135.9054
