E,EA,EAS
-706.7956760316117,-703.7092011884896,-691.6349
-706.1632993037739,-704.1345091402256,-690.7179
-706.2838840547705,-703.8841612269405,-691.6146
-706.0306575486874,-703.0962178452108,-690.3751
-706.239285363847,-703.487886160081,-691.0509
-705.8881701943003,-703.0756735158802,-691.30585
-706.1380037904801,-703.4815195878965,-691.1339
-706.5723838512165,-703.2720550602594,-691.38135
-706.5116144350789,-703.6056276805721,-690.7213
-705.7827489246837,-702.1996055665497,-689.2086
-706.5013262995262,-703.9116889225907,-692.0816
-706.0877426099188,-703.0008062669256,-690.4421
-706.1863154096335,-702.9270243327924,-691.5757
-706.3867719999346,-702.9270243327924,-692.53906
-705.5711363391265,-703.9307629559578,-692.68677
-707.0346748047768,-702.9208442577266,-690.80945
-707.0491084789649,-702.8219006544114,-691.51025
-706.5173760947363,-703.5286095384016,-691.0509
-706.274839606587,-702.9137256701026,-691.97565
-706.4745870787126,-703.192134486083,-690.5526
-705.9704125506806,-703.7733248174177,-690.4569
-705.5985866858857,-703.1084644441314,-690.81195
-705.512532333987,-702.5369152066311,-691.0865
-706.4583882044942,-702.8191630395008,-690.7611
-705.7934749225778,-703.2170657988687,-692.22485
-705.8210397687692,-702.9748123865265,-692.4835
-705.8055713809845,-702.4173532683965,-692.2826
-706.3509524502786,-703.0335363466284,-691.3357
-705.9122238785628,-702.8613912774576,-690.78564
-706.336053735452,-703.2447447836175,-691.35126
-706.5238239617574,-703.2447447836175,-690.86475
-707.038385138504,-703.1539888620587,-691.6575
-706.2287188657729,-702.6416119999936,-691.64325
-706.2849365279926,-702.4138828394774,-691.77844
-706.3920633901171,-702.6632780864923,-692.1916
-706.5016394903216,-701.4473744663003,-689.9769
-705.799244313478,-702.3615326228742,-692.08655
-706.3074630413782,-704.415231573517,-692.3971
-706.4137259374685,-704.4451312878147,-690.58374
-706.463038333007,-703.8508309709382,-692.28735
-706.8079984024107,-703.4203933171106,-691.0846
-706.9572122503162,-703.6412771230234,-691.44904
-706.5704909085773,-702.9267301883076,-691.16113
-706.4069047280933,-703.5343913263838,-691.0338
-705.9286983387223,-703.5694341144405,-690.93445
-706.0351483230595,-702.8239834541237,-690.8877
-706.0565320425289,-704.2144520161562,-691.6598
-705.7732839118235,-702.5946211047532,-692.16907
-705.238987440908,-703.3560207083947,-692.4625
-705.1920690272082,-702.7879965973527,-691.4551
-705.3549795359454,-702.5981075106961,-690.7208
-705.53984987545,-702.6168408411387,-691.1854
-705.6279654888372,-703.5054381827589,-691.0253
-706.4822865117345,-703.7726059609076,-692.58765
-705.9655804550957,-702.5646689830322,-689.7592
-705.7655741826673,-703.5375443104429,-690.59937
-706.4738431093292,-702.8926867370658,-690.3263
-705.8054286363929,-703.7560260789176,-691.5919
-705.7049882902948,-704.8164343919846,-691.06116
-706.362077725157,-702.0735066223924,-693.08496
-705.9554455529417,-702.9729591516623,-689.9346
-705.4811533752371,-702.7923094160587,-691.6737
-707.5693375317536,-703.5516592427435,-691.3345
-706.3678802298464,-704.2572422001883,-690.55884
-706.4247620926158,-703.3733299293514,-691.33374
-706.0151980301373,-702.8139865601929,-691.3646
-706.3628635259936,-703.8091344960897,-691.2323
-705.8878930732827,-703.8259621166894,-691.6279
-705.4783987128914,-703.9349802478172,-691.3142
-705.4500266166622,-704.2875085593486,-690.58606
-705.736836813533,-702.8175735767591,-690.67883
-705.8859225543617,-703.147108133563,-691.17694
-706.8013774975002,-702.9471867554798,-691.1607
-706.6847512134826,-703.2122316447517,-691.49646
-706.3555275380015,-702.3656530734888,-690.2272
