E,EA,EAS
-139.93237673322068,-136.87015459999864,-134.43137
-139.70259218569413,-137.09864791230027,-133.92319
-139.7666760932529,-136.91384049837575,-134.5334
-139.6557964957048,-137.09947903124953,-134.1324
-139.9552614415391,-136.84858019140268,-134.56857
-139.90321711094475,-136.83817552537153,-134.588
-139.78922519942412,-136.94691819478842,-134.34747
-140.0066087841979,-137.20389146622693,-134.47379
-139.8645323925547,-137.1095077356257,-133.8653
-139.69666715489092,-136.02640036845935,-133.48558
-139.9342611066851,-137.59831295553934,-134.95691
-139.60557278978564,-136.23842823038584,-134.05771
-139.60795258636682,-136.74611179564516,-134.57135
-140.07439557556012,-136.74611179564516,-134.83826
-139.36900648635597,-137.08506253864755,-134.83328
-140.17389276109293,-137.01861474478542,-134.44824
-140.18808324136836,-137.17838084928965,-134.1869
-139.9979745283976,-137.21996651524444,-134.62335
-139.64753319755982,-136.7499923971984,-134.96042
-140.1002798928974,-136.98403938335986,-133.68738
-140.0361687242571,-136.24576898916735,-133.82622
-139.74047346254326,-136.79844035207157,-133.91324
-139.51900165646495,-136.78110055706662,-134.30246
-139.8943729030641,-136.79210444486455,-134.34117
-139.93347902524891,-136.85427914104702,-134.25018
-139.86793246922122,-137.21404247897237,-134.38033
-139.8188667280985,-137.04883840208657,-134.47937
-139.97083326943138,-136.87275960435744,-135.09653
-139.70633445085645,-136.64737641064346,-134.48325
-140.03533255114223,-136.74647441639837,-134.24841
-139.65638678957595,-136.74647441639837,-134.05554
-140.1403443160213,-136.87365441511994,-134.69836
-139.65187807470483,-136.71526339426853,-134.696
-139.65237824625962,-136.5765820305469,-134.70789
-139.91947365976642,-136.60132502262087,-134.60423
-140.00280806076833,-136.7053083147719,-133.90205
-139.71319060608056,-136.626002611293,-134.92017
-139.86397261959624,-137.70315248216127,-134.97447
-139.90999169399464,-137.77307478997574,-134.23082
-139.85070676429663,-136.9343932739472,-134.83173
-140.24564351582367,-136.79209689461996,-134.52359
-139.9578407975966,-136.84549205663834,-134.5263
-139.7146214973962,-136.5737421142342,-134.0582
-139.65449350936277,-136.90844019175591,-134.9794
-139.32907296168338,-136.76064562736534,-133.9253
-139.45213216095735,-136.8849570883597,-133.84886
