E,EA,EAS,ind
-409.4341434087429,-410.0640750357204,-405.1970370455977,-463.06248915733033
-409.3862151911546,-410.1053339055146,-405.4482565707128,-463.06248915733033
-409.4189957335682,-410.1108382370597,-405.6176857186752,-463.06248915733033
-409.2707102494059,-410.1781721810627,-405.7493010798472,-463.06248915733033
-409.3817907500562,-410.1377945682741,-405.7091152747768,-463.06248915733033
-409.3558386362123,-410.1163295164452,-405.88837590803325,-463.06248915733033
-409.44468467819263,-410.26490123506414,-405.43723549601634,-463.06248915733033
-409.3659283851249,-410.2519216181149,-405.8827437115208,-463.06248915733033
-409.3664239808092,-410.0287039146762,-405.23734067084,-463.06248915733033
-409.320149470368,-410.2830934628582,-405.7160395535767,-463.06248915733033
-409.398267432869,-410.2346170253514,-405.4774477458005,-463.06248915733033
-409.3173043193866,-410.2324909641396,-405.3709404713619,-463.06248915733033
-409.5456316707201,-410.0686242952193,-405.7819945035408,-463.06248915733033
-409.5562312315602,-410.20660048089246,-405.42137932588713,-463.06248915733033
-409.67589523852007,-410.0538293523208,-405.5803817268754,-463.06248915733033
-409.2353969031906,-410.2745715043956,-405.002520486998,-463.06248915733033
-409.4634239927914,-410.3064096075855,-406.88433934689,-463.06248915733033
-409.6900829050477,-410.2082561882195,-405.8720851531808,-463.06248915733033
-409.3607560217293,-410.2648548570385,-405.58023054173407,-463.06248915733033
-409.3121842606964,-410.1134806656868,-405.3724009270903,-463.06248915733033
-409.62447030529,-410.5752809147989,-405.76739336438936,-463.06248915733033
-409.20751415963286,-410.231380868855,-406.0361190967143,-463.06248915733033
-409.2881757632907,-410.1654032547396,-405.448245258317,-463.06248915733033
-409.2803331986278,-410.2170514960336,-405.33166893957264,-463.06248915733033
-409.2711399789032,-410.3698738433193,-405.9342000571203,-463.06248915733033
-409.3957689679753,-410.0269430530731,-405.3953947183263,-463.06248915733033
-409.24148723627127,-410.2610282232946,-405.2269625296545,-463.06248915733033
-409.4311362733253,-410.28883050604816,-406.2033763525751,-463.06248915733033
-409.35915106491393,-410.16776779343246,-406.1350730962108,-463.06248915733033
-409.3281354200278,-410.1732478209192,-405.24485830150326,-463.06248915733033
-409.47103431216726,-410.2051836315112,-405.5986180848645,-463.06248915733033
