E,EA,EAS,ind
-112.02288380499704,-112.64140026153068,-110.37110003568088,-112.87226065128137
-112.0143112380853,-112.647250372853,-109.97772646244788,-112.87226065128137
-111.96520154090916,-112.63355725562934,-110.13430123738571,-112.87226065128137
-111.85844409836756,-112.52655227406107,-110.60365867932882,-112.87226065128137
-111.8447037294344,-112.69799223289942,-109.86139376330848,-112.87226065128137
-112.01294216601372,-112.65151497723436,-109.983645391493,-112.87226065128137
-111.9190789643208,-112.82717605184786,-110.41287680509038,-112.87226065128137
-111.92409914123462,-112.8916838268883,-110.35028499432482,-112.87226065128137
-112.10897709720912,-112.59090332263662,-110.24795822304633,-112.87226065128137
-112.10286480490592,-112.87592903555984,-110.11132099644652,-112.87226065128137
-112.04405584521676,-112.78479716678282,-110.40347600076392,-112.87226065128137
-111.97183591817044,-112.56573866208127,-110.27272982235432,-112.87226065128137
-111.86359021219688,-112.6181985867114,-110.01554157240788,-112.87226065128137
-111.95282633521153,-112.58999760099076,-110.4339809731513,-112.87226065128137
-112.27487771011847,-112.67641395213826,-109.8967551947797,-112.87226065128137
-112.02192993334876,-112.8265966243532,-110.55726113864183,-112.87226065128137
-111.98080656864656,-112.74891373440096,-109.76698851165447,-112.87226065128137
-112.2518132674602,-112.66978656384424,-110.06673865799674,-112.87226065128137
-111.94347390888348,-112.81573267785669,-110.02513593319313,-112.87226065128137
-111.81484573764835,-112.76604868694716,-109.94493587423872,-112.87226065128137
-111.98417619482537,-112.86304236715284,-109.95377945883772,-112.87226065128137
-111.93141939572136,-112.72142906702538,-109.6276179966728,-112.87226065128137
-111.96691298131672,-112.82138731989296,-110.20170761985104,-112.87226065128137
-111.97043351499124,-112.74046249738905,-110.4044894377089,-112.87226065128137
-111.91130759958926,-112.89293408208336,-109.97366189928128,-112.87226065128137
-111.99735821952916,-112.59015063085144,-110.10167682091364,-112.87226065128137
-111.94633705626023,-112.60690654424394,-110.34702663196607,-112.87226065128137
-111.92640691512852,-112.7020269727826,-109.69375118726632,-112.87226065128137
-112.0074918473562,-112.5581428273315,-109.68267346957666,-112.87226065128137
-112.0610585886394,-112.81498012476236,-110.18378533918204,-112.87226065128137
-112.02073830677293,-112.71794690637502,-110.10219683243687,-112.87226065128137
-112.00077660521576,-112.6651507832512,-110.01070192429464,-112.87226065128137
-112.11434359054635,-112.6621052329628,-109.92801130465116,-112.87226065128137
-111.97434792656226,-112.64642315975593,-109.64428523613957,-112.87226065128137
-111.90871838939668,-112.76437266865511,-109.89435480852686,-112.87226065128137
-111.98549863943836,-112.7518629931301,-109.7832445805358,-112.87226065128137
-111.96131458618332,-112.78681091608448,-109.66894478327914,-112.87226065128137
-112.11209715279875,-112.6390423937778,-110.29790249483736,-112.87226065128137
-111.88542052073728,-112.71085162679796,-109.94218311409476,-112.87226065128137
-111.8476428088079,-112.57367172618048,-109.51294342160357,-112.87226065128137
-111.99358759359389,-112.68355835923536,-110.03175575122714,-112.87226065128137
-111.89580587009718,-112.76730176072866,-109.90653429197712,-112.87226065128137
-112.0210592994728,-112.77340030157544,-110.48247512318795,-112.87226065128137
-111.91974458891886,-112.8186103585065,-109.83947165006792,-112.87226065128137
-111.96090295412124,-112.91302758721385,-110.1404908530058,-112.87226065128137
-112.01453888251108,-112.65897010921584,-109.63563960034632,-112.87226065128137
-112.0982935655306,-112.76242284803942,-110.21357632761608,-112.87226065128137
-111.93866319896696,-112.5629762903766,-109.9598916831455,-112.87226065128137
-111.851998780959,-112.72603158957152,-110.06854762599288,-112.87226065128137
-111.99923066299326,-112.80330910617232,-110.46808838016644,-112.87226065128137
-111.92447407940612,-112.74215569261312,-109.81257648636542,-112.87226065128137
-111.8060434270434,-112.63735333847336,-110.2269200653667,-112.87226065128137
-111.91588858801362,-112.88863641693716,-110.3461797841308,-112.87226065128137
-111.92604230911029,-112.67525216023368,-109.8978107618826,-112.87226065128137
-111.99166335160172,-113.015729509076,-109.91117923425536,-112.87226065128137
-111.932878677149,-112.87075013103038,-109.88988872947392,-112.87226065128137
-112.11257501195624,-112.76026603018016,-110.12469510993648,-112.87226065128137
-112.03909226848675,-112.58895198153888,-109.76158970618988,-112.87226065128137
-111.92654436070296,-112.74297968394264,-110.07336508354852,-112.87226065128137
-112.13481162158256,-112.8704606162197,-109.88135213101415,-112.87226065128137
-111.8715895152478,-112.73008659387028,-110.17988941910755,-112.87226065128137
-111.96510613141874,-112.85928051512133,-110.24497688374234,-112.87226065128137
-111.90899723837062,-112.81552396775028,-110.0288940799469,-112.87226065128137
-111.9545157680754,-112.84840240984212,-109.76490087941043,-112.87226065128137
-111.97083130374634,-112.6150681602583,-109.62614219070096,-112.87226065128137
-111.91353857357916,-112.5927431791165,-110.0163037200592,-112.87226065128137
-112.01928484885896,-112.93101022596092,-109.6478774719432,-112.87226065128137
-112.08579252349216,-112.71022590868763,-110.20360988490184,-112.87226065128137
-112.0312204371267,-112.850112056666,-110.10352684992404,-112.87226065128137
-112.02750314777816,-112.70002533326668,-110.185002730853,-112.87226065128137
-112.01188249848263,-112.65806152212414,-110.48634880162038,-112.87226065128137
-112.05405596186344,-112.695512375116,-110.19628642231604,-112.87226065128137
-111.93232360953034,-112.84464245793026,-109.68941729000052,-112.87226065128137
-112.05045907688675,-112.70042881738188,-110.51366155498474,-112.87226065128137
-111.80825969201072,-112.71777596485438,-109.93286514781576,-112.87226065128137
-111.99527241883985,-112.91256144008965,-109.96995636794414,-112.87226065128137
-111.97401686219428,-112.87846733809684,-109.72703809377953,-112.87226065128137
-111.84734701011976,-112.51873412318848,-110.1868040814186,-112.87226065128137
-112.08586950830308,-113.03031542997904,-110.06525112740992,-112.87226065128137
-112.10549779824998,-112.9591484236722,-109.7897485605708,-112.87226065128137
-111.92509460399852,-112.77842965889845,-110.12852252681748,-112.87226065128137
-112.03724186227905,-112.69408419984131,-110.16182566386394,-112.87226065128137
-112.09836889670508,-112.78775038704455,-110.25490324940596,-112.87226065128137
-111.77828216332928,-112.83265632143632,-110.23916005703995,-112.87226065128137
-112.20372751420972,-112.62223406020166,-109.7091012545858,-112.87226065128137
-112.05229274143184,-112.9920123412457,-110.00768606577392,-112.87226065128137
-111.89694176021388,-112.4898674882182,-110.23510374352388,-112.87226065128137
-111.75030591850349,-112.76023662917076,-110.0744607337317,-112.87226065128137
-111.95668586179704,-112.85278912492308,-110.08630393054192,-112.87226065128137
-111.96752333155884,-112.90841197862902,-110.00084549395832,-112.87226065128137
-112.0437668151689,-112.81010482200392,-110.3404900413552,-112.87226065128137
-112.04797495875624,-112.69543317090763,-109.6662216489276,-112.87226065128137
-111.97760938795092,-112.7485216085892,-110.0966002248731,-112.87226065128137
