recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
50,30,6.61,CALIFORNIA,-118.387,33.801,70.91255067664628,3.111553451263001,280.56,-0.2369705172924439
51,30,6.61,CALIFORNIA,-116.674,33.5556,188.0021281892384,2.111231375535763,360.45,0.6624533033087646
52,30,6.61,CALIFORNIA,-119.021,35.37,117.31489332256248,-0.4930503855987424,241.41,-1.3886282479356828
53,30,6.61,CALIFORNIA,-116.37,33.26,229.71849768146672,2.167012131186881,338.54,0.456357066972004
54,30,6.61,CALIFORNIA,-119.35,35.16,117.38377394550947,-0.8177530659763764,385.69,-0.8590593876343379
55,30,6.61,CALIFORNIA,-117.838,33.9121,78.80293124413053,2.405656547514162,235.0,-1.4280174769304352
56,30,6.61,CALIFORNIA,-118.642,34.564,25.36088595937404,-0.9963706193564796,450.28,1.5675247777048964
57,30,6.61,CALIFORNIA,-117.3,34.31,103.10717420130896,1.7056441765014656,477.22,0.1180886850427024
59,30,6.61,CALIFORNIA,-120.29,35.733,223.5294816856833,-0.8646850352978701,184.75,-0.9599426943941908
60,30,6.61,CALIFORNIA,-120.359,35.671,224.18763255346988,-0.9060949182740038,256.82,0.1473480412292989
61,30,6.61,CALIFORNIA,-117.312,34.059,109.61513706823182,1.9612027351050585,301.95,-0.872575034445017
62,30,6.61,CALIFORNIA,-118.426,34.704,29.323026636303727,-0.0500107771511843,634.33,0.6453581305742162
63,30,6.61,CALIFORNIA,-118.9,34.87,65.52150604086201,-0.75292583376626,394.18,-2.2779065956649465
64,30,6.61,CALIFORNIA,-118.72,34.808,49.746560822088696,-0.6067477447587026,308.35,0.1735299654972231
65,30,6.61,CALIFORNIA,-116.979,33.729,153.82481851532583,2.1020951575243414,328.09,0.8560034783310471
66,30,6.61,CALIFORNIA,-118.474,35.644,133.70096492325507,-0.0433694791220133,591.0,0.2180533013380083
67,30,6.61,CALIFORNIA,-118.339,34.09,39.37130339856575,2.974387991853471,316.46,0.4880464200506242
68,30,6.61,CALIFORNIA,-118.23,33.77,76.15246681536823,2.920844561303716,217.92,-1.0209341956584288
69,30,6.61,CALIFORNIA,-118.43,34.674,26.02301817894479,-0.0704952436406443,425.34,2.2852082879909243
70,30,6.61,CALIFORNIA,-118.56,34.571,20.023309387317088,-0.7579231150728786,602.1,0.6068069392936503
71,30,6.61,CALIFORNIA,-118.478,34.65,24.11747646423453,-0.2614501067681318,600.06,0.5268871796611911
72,30,6.61,CALIFORNIA,-118.558,34.608,23.064389841408715,-0.6292765995778822,670.84,-0.7198495714792572
73,30,6.61,CALIFORNIA,-119.486,35.997,198.5819512075917,-0.5104997685765468,303.79,0.3574398227509016
74,30,6.61,CALIFORNIA,-119.429,35.04,114.62122791203088,-0.9461522698566556,443.85,-0.4269064788055003
75,30,6.61,CALIFORNIA,-119.401,35.078,115.07070113255986,-0.9034054053558624,441.25,-0.9302246240030138
77,30,6.61,CALIFORNIA,-118.11401,34.57806,31.19855099776033,1.0562174498267063,452.86,0.9694201875271368
78,30,6.61,CALIFORNIA,-118.121,34.139,42.69468738945304,2.4673146639861665,415.13,1.0566583423371996
80,30,6.61,CALIFORNIA,-117.922,34.5083,45.46740709371175,1.400968248774439,529.09,-0.1689156769395958
81,30,6.61,CALIFORNIA,-119.206,34.145,80.25904288198262,-1.9868360174447608,248.98,0.0592921559825796
82,30,6.61,CALIFORNIA,-117.808,34.091,67.62046520592436,2.177398508557183,421.44,0.0434856870163063
83,30,6.61,CALIFORNIA,-117.163,32.719,223.24132253088808,2.5903655667894623,354.06,0.1220169790966688
84,30,6.61,CALIFORNIA,-117.671,33.4894,125.62945251185296,2.563183661341059,459.37,1.9540211186743848
85,30,6.61,CALIFORNIA,-117.56,33.37,142.3584289837855,2.552412319854138,442.88,0.5292177396054709
86,30,6.61,CALIFORNIA,-118.018,34.185,45.847743901812095,2.2337502777424345,667.13,-0.7004455252312205
87,30,6.61,CALIFORNIA,-118.753,34.46,31.5978782689688,-1.4988315938724774,389.0,0.1487801014034372
88,30,6.61,CALIFORNIA,-118.827,34.9417,67.50969615995686,-0.5995635973477202,669.48,-1.7812592402385037
89,30,6.61,CALIFORNIA,-119.85,34.41,132.4086062752239,-1.5888266526005752,322.42,0.8047117339263004
90,30,6.61,CALIFORNIA,-117.675,34.155,74.68604749426902,2.0042564318729053,487.23,-0.257568836198939
91,30,6.61,CALIFORNIA,-118.791,35.027,73.87844519082296,-0.4900119261484131,347.67,-1.1993932440315278
92,30,6.61,CALIFORNIA,-118.053,34.02,57.03011399291541,2.5250922409736947,298.68,-0.6620815194214308
93,30,6.61,CALIFORNIA,-117.63,34.36,72.26737473248203,1.6900583225777634,486.0,0.3444552953614577
321,76,6.36,CALIFORNIA,-120.32,36.503,29.974213619122548,-0.0298928002401164,274.73,0.6006894784918968
322,76,6.36,CALIFORNIA,-120.404,35.639,66.45250503356517,-3.013118003588907,359.03,0.0182597352432613
323,76,6.36,CALIFORNIA,-120.277,35.743,54.45117969640167,3.086744273492384,326.64,0.5325680858157819
324,76,6.36,CALIFORNIA,-120.259,35.751,53.67952152775847,3.0555540722908314,522.74,-1.2088484138784426
326,76,6.36,CALIFORNIA,-120.247,35.77,51.68709065208298,3.0311507756923373,397.36,-1.1737886121502443
327,76,6.36,CALIFORNIA,-120.294,35.724,56.4963608190714,3.115966111404604,230.57,-0.3655370905979247
328,76,6.36,CALIFORNIA,-120.316,35.707,58.36665219664967,-3.1322895400456687,283.38,-0.930405937929524
329,76,6.36,CALIFORNIA,-120.304,35.718,57.14621494753316,3.132092164225594,410.4,0.1428630353466008
330,76,6.36,CALIFORNIA,-120.328,35.697,59.49583694571381,-3.1142065487733843,236.59,-0.3367620257801992
331,76,6.36,CALIFORNIA,-120.342,35.684,60.98443091115021,-3.0940749686236724,251.57,-0.2408114242081311
332,76,6.36,CALIFORNIA,-120.359,35.671,62.51495574716396,-3.0705680346816684,256.82,-0.5649194071086252
334,76,6.36,CALIFORNIA,-120.422,35.872,41.30820148540783,-2.894218241207387,372.73,0.8396339906714796
335,76,6.36,CALIFORNIA,-120.398,35.896,38.22475712918548,-2.932220546248184,541.73,-0.3049039910379278
336,76,6.36,CALIFORNIA,-120.433,35.899,38.68180098291822,-2.8504277883393647,265.21,0.5127447060721098
337,76,6.36,CALIFORNIA,-120.458,35.908,38.44769264957159,-2.786711197671636,246.07,2.2820026344052824
338,76,6.36,CALIFORNIA,-120.481,35.921,37.89156793243107,-2.722091512646256,307.59,1.0949120752148795
339,76,6.36,CALIFORNIA,-120.456,35.927,36.41160285923641,-2.7713251775345924,384.26,0.5447722927384374
340,76,6.36,CALIFORNIA,-120.334,35.787,49.53507315020486,-3.097776250246511,294.26,1.115367055333971
341,76,6.36,CALIFORNIA,-120.334,35.803,47.76153725573311,-3.096157256872577,211.74,0.6120913175990405
342,76,6.36,CALIFORNIA,-120.395,35.836,44.71210602609359,-2.968975376169141,220.75,-0.0392439606217008
343,76,6.36,CALIFORNIA,-120.42,35.859,42.66635039177305,-2.90656521864691,266.65,-0.7290402397573154
344,76,6.36,CALIFORNIA,-120.404,35.871,41.05077208309204,-2.9332914392544365,297.46,0.0742248008010814
345,76,6.36,CALIFORNIA,-120.381,35.878,39.90687866001164,-2.9802316134488827,308.84,0.270223132308448
