recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
50,30,6.61,CALIFORNIA,-118.387,33.801,70.91255067664628,3.111553451263001,280.56,-1.20963026672494
51,30,6.61,CALIFORNIA,-116.674,33.5556,188.0021281892384,2.111231375535763,360.45,1.9174785166617925
52,30,6.61,CALIFORNIA,-119.021,35.37,117.31489332256248,-0.4930503855987424,241.41,-2.357222679370718
53,30,6.61,CALIFORNIA,-116.37,33.26,229.71849768146672,2.167012131186881,338.54,0.3351381248252499
54,30,6.61,CALIFORNIA,-119.35,35.16,117.38377394550947,-0.8177530659763764,385.69,-0.1884947926299471
55,30,6.61,CALIFORNIA,-117.838,33.9121,78.80293124413053,2.405656547514162,235.0,0.5352846017187047
56,30,6.61,CALIFORNIA,-118.642,34.564,25.36088595937404,-0.9963706193564796,450.28,1.1097751115830323
57,30,6.61,CALIFORNIA,-117.3,34.31,103.10717420130896,1.7056441765014656,477.22,0.9222678527854468
59,30,6.61,CALIFORNIA,-120.29,35.733,223.5294816856833,-0.8646850352978701,184.75,-2.395136816951565
60,30,6.61,CALIFORNIA,-120.359,35.671,224.18763255346988,-0.9060949182740038,256.82,-0.7943738964752084
61,30,6.61,CALIFORNIA,-117.312,34.059,109.61513706823182,1.9612027351050585,301.95,1.3997400672942564
62,30,6.61,CALIFORNIA,-118.426,34.704,29.323026636303727,-0.0500107771511843,634.33,-0.1270969609449576
63,30,6.61,CALIFORNIA,-118.9,34.87,65.52150604086201,-0.75292583376626,394.18,-1.1331597666057174
64,30,6.61,CALIFORNIA,-118.72,34.808,49.746560822088696,-0.6067477447587026,308.35,0.0954004120234436
65,30,6.61,CALIFORNIA,-116.979,33.729,153.82481851532583,2.1020951575243414,328.09,1.2833799346352597
66,30,6.61,CALIFORNIA,-118.474,35.644,133.70096492325507,-0.0433694791220133,591.0,-0.0334155899336716
67,30,6.61,CALIFORNIA,-118.339,34.09,39.37130339856575,2.974387991853471,316.46,0.416857135203411
68,30,6.61,CALIFORNIA,-118.23,33.77,76.15246681536823,2.920844561303716,217.92,-0.8988369322230684
69,30,6.61,CALIFORNIA,-118.43,34.674,26.02301817894479,-0.0704952436406443,425.34,-0.4116704224879935
70,30,6.61,CALIFORNIA,-118.56,34.571,20.023309387317088,-0.7579231150728786,602.1,1.7299753222872656
71,30,6.61,CALIFORNIA,-118.478,34.65,24.11747646423453,-0.2614501067681318,600.06,0.100590453979259
72,30,6.61,CALIFORNIA,-118.558,34.608,23.064389841408715,-0.6292765995778822,670.84,-0.3571852401889526
73,30,6.61,CALIFORNIA,-119.486,35.997,198.5819512075917,-0.5104997685765468,303.79,0.4560082185691753
74,30,6.61,CALIFORNIA,-119.429,35.04,114.62122791203088,-0.9461522698566556,443.85,-0.6963906233563335
75,30,6.61,CALIFORNIA,-119.401,35.078,115.07070113255986,-0.9034054053558624,441.25,-1.422859946540724
