recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
321,76,6.36,CALIFORNIA,-120.32,36.503,29.974213619122548,-0.0298928002401164,274.73,1.3130218147215211
322,76,6.36,CALIFORNIA,-120.404,35.639,66.45250503356517,-3.013118003588907,359.03,0.0194782012001793
323,76,6.36,CALIFORNIA,-120.277,35.743,54.45117969640167,3.086744273492384,326.64,0.388167583402708
324,76,6.36,CALIFORNIA,-120.259,35.751,53.67952152775847,3.0555540722908314,522.74,-0.3499637804610674
326,76,6.36,CALIFORNIA,-120.247,35.77,51.68709065208298,3.0311507756923373,397.36,-0.0981640586039021
327,76,6.36,CALIFORNIA,-120.294,35.724,56.4963608190714,3.115966111404604,230.57,-0.0999465290027254
328,76,6.36,CALIFORNIA,-120.316,35.707,58.36665219664967,-3.1322895400456687,283.38,-0.4326927611956427
329,76,6.36,CALIFORNIA,-120.304,35.718,57.14621494753316,3.132092164225594,410.4,0.1553323523100218
330,76,6.36,CALIFORNIA,-120.328,35.697,59.49583694571381,-3.1142065487733843,236.59,-0.5518190991416957
331,76,6.36,CALIFORNIA,-120.342,35.684,60.98443091115021,-3.0940749686236724,251.57,-0.2817220472819216
332,76,6.36,CALIFORNIA,-120.359,35.671,62.51495574716396,-3.0705680346816684,256.82,0.0243687643231913
334,76,6.36,CALIFORNIA,-120.422,35.872,41.30820148540783,-2.894218241207387,372.73,1.5337468963097505
335,76,6.36,CALIFORNIA,-120.398,35.896,38.22475712918548,-2.932220546248184,541.73,0.0095461250942467
336,76,6.36,CALIFORNIA,-120.433,35.899,38.68180098291822,-2.8504277883393647,265.21,0.9202162904820468
337,76,6.36,CALIFORNIA,-120.458,35.908,38.44769264957159,-2.786711197671636,246.07,1.0847547092095533
338,76,6.36,CALIFORNIA,-120.481,35.921,37.89156793243107,-2.722091512646256,307.59,1.010634707261845
339,76,6.36,CALIFORNIA,-120.456,35.927,36.41160285923641,-2.7713251775345924,384.26,-0.2140136816700155
340,76,6.36,CALIFORNIA,-120.334,35.787,49.53507315020486,-3.097776250246511,294.26,1.2849767932518832
341,76,6.36,CALIFORNIA,-120.334,35.803,47.76153725573311,-3.096157256872577,211.74,0.3723540054683085
342,76,6.36,CALIFORNIA,-120.395,35.836,44.71210602609359,-2.968975376169141,220.75,0.8740955175798759
343,76,6.36,CALIFORNIA,-120.42,35.859,42.66635039177305,-2.90656521864691,266.65,1.237530259439026
344,76,6.36,CALIFORNIA,-120.404,35.871,41.05077208309204,-2.9332914392544365,297.46,1.1382189660127382
345,76,6.36,CALIFORNIA,-120.381,35.878,39.90687866001164,-2.9802316134488827,308.84,0.3939286689887503
346,76,6.36,CALIFORNIA,-120.445,35.879,41.12002076747928,-2.8406012159652594,372.26,0.3853639716648236
347,76,6.36,CALIFORNIA,-120.378,35.818,46.4542915945946,-3.008918019281804,214.43,0.5640792861607014
348,76,6.36,CALIFORNIA,-120.348,35.843,43.409577210944406,-3.0624254845485765,360.92,-0.5269450102112824
349,76,6.36,CALIFORNIA,-120.391,35.812,47.2810381226746,-2.9861352441438984,290.5,0.1859195547570738
350,76,6.36,CALIFORNIA,-120.334,35.87,40.33647411038573,-3.087831551607425,450.61,0.0489297029080879
351,76,6.36,CALIFORNIA,-120.411,35.796,49.3366008693144,-2.9554642059576515,510.92,-0.0148359306606923
352,76,6.36,CALIFORNIA,-120.444,35.785,51.15655449652218,-2.902503894865469,421.2,-0.0429111082395677
353,76,6.36,CALIFORNIA,-120.477,35.77,53.535059533191024,-2.8556326889106205,441.37,-0.1998499394135956
354,76,6.36,CALIFORNIA,-120.507,35.738,57.72622005446071,-2.827749611468463,232.44,-0.1428219941751134
355,76,6.36,CALIFORNIA,-120.282,35.81,47.00363604550454,3.087727200445419,566.33,-0.1982897794582195
356,76,6.36,CALIFORNIA,-120.27,35.833,44.53001186655144,3.0603408244616346,565.08,-0.2737681314973619
357,76,6.36,CALIFORNIA,-120.281,35.855,42.0241436022412,3.079217953058122,492.43,-0.3912966885275042
358,76,6.36,CALIFORNIA,-120.481,35.957,34.27891099403536,-2.674797988528686,381.27,0.4038550553504345
359,76,6.36,CALIFORNIA,-120.497,35.934,37.20760196532502,-2.670872041109307,284.21,0.4878849566716587
361,76,6.36,CALIFORNIA,-120.509,35.927,38.39467619125828,-2.6548475325080267,438.74,-0.3787277804582453
362,76,6.36,CALIFORNIA,-120.534,35.922,39.974418209306,-2.6113544376402014,308.87,-0.3768094095866388
363,76,6.36,CALIFORNIA,-120.55,35.905,42.33241045474912,-2.6043256002390174,386.19,-0.8059761063607357
365,76,6.36,CALIFORNIA,-120.6,35.861,48.8535423987118,-2.5757087033007227,392.24,-0.3325480755342369
368,76,6.36,CALIFORNIA,-120.59,36.034,33.50798730949035,-2.28882484467996,648.09,0.0353257701090262
589,113,5.99,CALIFORNIA,-118.096,34.177,14.232494652374005,-0.0973179588595161,375.16,0.4425349016711184
591,113,5.99,CALIFORNIA,-118.036,34.13,9.868003094374304,0.4341613744570959,367.53,0.1406436812782267
592,113,5.99,CALIFORNIA,-118.439,34.236,38.9756375494737,-1.0088523271541914,297.71,-1.0102829136433105
593,113,5.99,CALIFORNIA,-117.974,34.1,11.365432574701266,1.052646689985071,544.68,0.6181962698468033
594,113,5.99,CALIFORNIA,-118.158,33.965,11.748705019316771,-2.490909262478903,267.13,0.1257564607851926
595,113,5.99,CALIFORNIA,-118.405,34.127,31.119048103102585,-1.2885815703056962,545.66,-1.3228325005230834
596,113,5.99,CALIFORNIA,-118.439,34.132,34.288449135771046,-1.2982106992908744,355.81,-1.236177619849485
598,113,5.99,CALIFORNIA,-117.896,33.916,22.60199533724248,2.2829991547197808,322.75,-0.3694812825404406
599,113,5.99,CALIFORNIA,-117.927,33.89,22.688807785340945,2.462781363429709,437.5,0.3706972220006458
600,113,5.99,CALIFORNIA,-117.9258,33.8904,22.724086374990627,2.457751119339872,437.5,0.3110724466325851
601,113,5.99,CALIFORNIA,-118.331,34.168,26.56005909521356,-1.0508943625174656,320.57,-0.3980952868724737
602,113,5.99,CALIFORNIA,-118.696,34.15,57.83895956897042,-1.3734449952209948,403.72,-1.4252793517646822
603,113,5.99,CALIFORNIA,-118.606,34.212,51.68111105680463,-1.211503005050823,267.49,-1.03722006636819
606,113,5.99,CALIFORNIA,-118.27,33.812,31.594254331698185,-2.5545864754541,305.14,-0.2815685121771868
608,113,5.99,CALIFORNIA,-118.65,34.459,69.36980634546994,-0.8536446096466054,421.05,0.7219507040311302
610,113,5.99,CALIFORNIA,-118.196,33.899,19.770785617671496,-2.573521865955372,266.9,-0.0871142301367154
611,113,5.99,CALIFORNIA,-117.871,34.078,19.64596829133404,1.407008698047945,346.62,-0.7725106603652915
612,113,5.99,CALIFORNIA,-117.915,34.087,15.883978549394126,1.3035718806396657,324.79,-0.5853240480421591
613,113,5.99,CALIFORNIA,-118.137,33.92,15.24712179561197,-2.7950679781630927,245.06,0.411400875783655
614,113,5.99,CALIFORNIA,-118.167,33.924,16.009800509142035,-2.6217931796882272,271.9,0.0863722034116611
615,113,5.99,CALIFORNIA,-118.019,34.093,7.500036326895691,0.8677517452277117,290.63,0.5099394620780833
621,113,5.99,CALIFORNIA,-117.943,33.99,14.343326735154935,2.0465311068802894,337.0,-0.4150736894811241
623,113,5.99,CALIFORNIA,-117.997,33.662,43.65685728776569,2.9621720496652486,315.52,0.6381537424744584
