x,y,vs30,epi_dist,epi_azimuth
-14.8,-14.8,750.0,26.66608332695299,3.5179207820361165
-14.4,-14.8,750.0,26.52168923730161,3.5038937593249315
-14.0,-14.8,750.0,26.38257000369752,3.489715988870478
-13.6,-14.8,750.0,26.248809496813376,3.475390817840621
-13.2,-14.8,750.0,26.120490041344937,3.460921905212189
-12.8,-14.8,750.0,25.997692205270837,3.4463132243543595
-12.4,-14.8,750.0,25.880494585691366,3.4315690642490253
-11.999999999999998,-14.8,750.0,25.768973592287296,3.416694029256976
-11.599999999999998,-14.8,750.0,25.663203229526903,3.401693037347176
-11.199999999999998,-14.8,750.0,25.563254878829497,3.386571316716657
-10.799999999999995,-14.8,750.0,25.469197081965504,3.3713344007405395
-10.399999999999997,-14.8,750.0,25.381095327034252,3.3559881212053853
-9.999999999999996,-14.8,750.0,25.299011838409818,3.3405385997943515
-9.599999999999996,-14.8,750.0,25.223005372080465,3.32499223780931
-9.199999999999996,-14.8,750.0,25.153131017827583,3.3093557041330035
-8.799999999999995,-14.8,750.0,25.089440009693323,3.2936359214532014
-8.399999999999995,-14.8,750.0,25.031979546172533,3.277840050790372
-7.999999999999995,-14.8,750.0,24.98079262153225,3.261975474390352
-7.599999999999994,-14.8,750.0,24.9359178696113,3.246049777063414
-7.199999999999994,-14.8,750.0,24.897389421383117,3.2300707260707684
-6.799999999999994,-14.8,750.0,24.865236777477108,3.2140462496783813
-6.399999999999993,-14.8,750.0,24.839484696748443,3.197984414515752
-5.999999999999993,-14.8,750.0,24.820153101864623,3.181893401893574
-5.5999999999999925,-14.8,750.0,24.807257002740148,3.165781483248629
-5.199999999999992,-14.8,750.0,24.800806438501148,3.1496569948965596
-4.799999999999992,-14.8,750.0,24.800806438501148,3.1335283122830258
-4.399999999999992,-14.8,750.0,24.807257002740148,3.1174038239309567
-3.999999999999991,-14.8,750.0,24.820153101864623,3.1012919052860117
-3.5999999999999908,-14.8,750.0,24.839484696748443,3.0852008926638335
-3.1999999999999904,-14.8,630.0,24.865236777477108,3.0691390575012045
-2.79999999999999,-14.8,480.0,24.89738942138312,3.0531145811088174
-2.3999999999999897,-14.8,630.0,24.935917869611302,3.0371355301161715
-1.9999999999999891,-14.8,630.0,24.980792621532252,3.0212098327892334
-1.599999999999989,-14.8,630.0,25.031979546172536,3.005345256389213
-1.1999999999999886,-14.8,630.0,25.089440009693323,2.9895493857263844
-0.7999999999999883,-14.8,630.0,25.153131017827587,2.973829603046582
-0.3999999999999879,-14.8,630.0,25.22300537208047,2.958193069370276
1.2434497875801752e-14,-14.8,630.0,25.299011838409818,2.9426467073852343
0.4000000000000128,-14.8,630.0,25.38109532703426,2.9271971859742
0.8000000000000131,-14.8,480.0,25.469197081965504,2.911850906439046
1.2000000000000135,-14.8,480.0,25.5632548788295,2.8966139904629284
1.600000000000012,-14.8,480.0,25.663203229526907,2.8814922698324095
2.000000000000014,-14.8,630.0,25.768973592287303,2.8664912779226097
2.4000000000000163,-14.8,630.0,25.88049458569137,2.8516162429305605
2.800000000000015,-14.8,750.0,25.99769220527084,2.8368720828252263
3.200000000000013,-14.8,630.0,26.120490041344944,2.8222634019673962
3.600000000000016,-14.8,750.0,26.24880949681338,2.8077944893389644
4.000000000000018,-14.8,750.0,26.382570003697523,2.793469318309108
4.400000000000016,-14.8,750.0,26.52168923730162,2.7792915478546543
4.800000000000015,-14.8,750.0,26.666083326952993,2.7652645251434693
5.200000000000017,-14.8,750.0,26.81566706237233,2.7513912893830352
5.600000000000019,-14.8,750.0,26.970354094820493,2.7376745768314503
6.000000000000018,-14.8,750.0,27.13005713226569,2.724116826864791
6.400000000000016,-14.8,750.0,27.29468812791237,2.7107201889930623
6.8000000000000185,-14.8,750.0,27.464158461529465,2.6974865307166604
7.200000000000021,-14.8,750.0,27.638379113110098,2.684417446116282
7.600000000000019,-14.8,750.0,27.817260828485622,2.671514265071386
8.000000000000018,-14.8,750.0,28.00071427660374,2.6587780630054776
8.40000000000002,-14.8,750.0,28.18865019826243,2.6462096710605287
8.800000000000022,-14.8,750.0,28.3809795461679,2.6338096866075604
9.20000000000002,-14.8,750.0,28.577613616255654,2.6215784840057466
9.60000000000002,-14.8,750.0,28.77846417027845,2.609516225528093
10.00000000000002,-14.8,750.0,28.98344354972336,2.5976228723777948
10.400000000000023,-14.8,750.0,29.19246478117257,2.5858981957255796
10.800000000000022,-14.8,750.0,29.405441673268584,2.5743417877046304
11.20000000000002,-14.8,750.0,29.62228890548468,2.5629530723059633
11.600000000000025,-14.8,630.0,29.84292210893566,2.5517313161233233
12.000000000000025,-14.8,480.0,30.067257939492933,2.540675638902672
12.400000000000023,-14.8,480.0,30.295214143491393,2.5297850238571553
12.800000000000022,-14.8,630.0,30.52670961633436,2.5190583277139744
13.200000000000024,-14.8,630.0,30.761664454317177,2.5084942904648284
13.600000000000026,-14.8,630.0,31.000000000000018,2.498091544796508
14.000000000000025,-14.8,750.0,31.241638881467168,2.487848625182803
14.400000000000023,-14.8,750.0,31.486505045812898,2.477763976623098
14.800000000000026,-14.8,750.0,31.734523787194302,2.467835963016912
-14.8,-14.4,750.0,26.29448611401257,3.523511459141445
-14.4,-14.4,750.0,26.148040079516473,3.509315636172141
-14.0,-14.4,750.0,26.006922155456994,3.4949628363091905
-13.6,-14.4,750.0,25.871219530590356,3.4804564516035694
-13.2,-14.4,750.0,25.74101785089315,3.4658002054992614
-12.8,-14.4,750.0,25.616400996236766,3.450998156142211
-12.4,-14.4,750.0,25.497450852977437,3.4360546982238995
