LE,gammaE
10.143494,0.40133646
9.750792,0.39035857
10.338791,0.40336284
9.284569,0.39086723
10.577568,0.3860913
10.689632,0.40243953
9.877756,0.39746702
10.235213,0.38744277
10.053292,0.39893585
9.694456,0.38252562
10.057183,0.40616068
10.044268,0.3845978
9.766238,0.39426997
10.033791,0.39235318
9.434528,0.38686603
9.272432,0.38251573
10.080193,0.38289157
10.080193,0.38289157
10.210808,0.388575
10.4398365,0.40314162
9.982789,0.3839215
10.880087,0.4004386
10.5986595,0.4074694
10.770037,0.3893869
9.756068,0.39880845
10.615146,0.3866061
10.361572,0.40301704
10.696766,0.3921783
10.696766,0.3921783
9.450316,0.39503345
10.97937,0.39175358
10.191932,0.38420358
10.115364,0.37096038
9.095353,0.40197843
10.161048,0.4001114
9.48625,0.4062693
11.18746,0.3844846
10.777421,0.38625935
10.694578,0.38863948
10.012604,0.39904568
10.6348715,0.39419743
10.058306,0.389657
10.170316,0.38115466
10.413321,0.37160847
9.788617,0.4103044
10.518878,0.38100633
10.774536,0.3935477
10.165359,0.38815266
10.053367,0.39489225
10.919424,0.38038936
10.860712,0.41903052
10.551693,0.41484955
10.522761,0.41069323
9.557466,0.38969228
10.76335,0.39636502
9.814809,0.4148101
10.386652,0.39842677
10.443143,0.40891293
10.043628,0.40406483
10.347661,0.38396966
10.482057,0.40222788
10.137264,0.38704085
10.137264,0.38704085
10.355544,0.39718145
10.363829,0.4010115
9.902004,0.3999863
10.110773,0.404182
10.161864,0.4106321
10.340637,0.3893274
9.512322,0.3997375
9.529774,0.3884206
9.770533,0.3970959
11.035521,0.3903041
11.132406,0.39073503
10.85622,0.38975
10.709703,0.39985526
10.977969,0.38616186
10.071098,0.39793828
10.674728,0.3943341
10.167118,0.3847886
10.339365,0.39539352
11.088768,0.3935117
10.820988,0.40636384
9.702355,0.38301057
9.965743,0.40008357
10.4077425,0.3842615
10.233651,0.40886357
9.78554,0.41883165
10.927528,0.3699411
10.811949,0.37898397
10.891559,0.3908392
9.828412,0.4018804
10.861322,0.38624144
9.379781,0.38745353
9.093387,0.38447818
9.750804,0.40349105
11.214006,0.3868752
11.185183,0.3848048
10.3957,0.39047617
10.215909,0.4015527
10.1885395,0.3842026
10.582424,0.39915693
10.206792,0.38753355
10.065858,0.3759553
10.056382,0.38443413
9.776093,0.39598608
9.737663,0.37679744
9.944399,0.40385485
10.111036,0.3829129
10.397636,0.40279827
10.397636,0.40279827
10.471813,0.39902824
10.140322,0.3917781
10.601677,0.39605314
10.088906,0.38736466
10.583323,0.40039277
10.144551,0.3797898
10.358786,0.38839114
10.3580675,0.38895553
9.854748,0.3913266
10.327648,0.38642803
9.566744,0.37719643
10.536785,0.39577785
11.395646,0.38493866
11.053186,0.3889484
9.515686,0.3979007
9.075951,0.40406018
9.793029,0.40393978
10.59139,0.38656777
11.215395,0.40308723
10.565183,0.38330042
10.721047,0.37296993
9.802263,0.40773785
9.547467,0.40715805
10.603014,0.3811281
11.330008,0.38257888
9.910621,0.39885712
9.4836855,0.39457598
9.615435,0.39684567
11.099141,0.3937383
10.403215,0.3907046
10.723039,0.3760067
10.3236475,0.39284065
9.768439,0.401692
10.116984,0.37252933
10.101333,0.37453198
10.042028,0.4119704
9.955325,0.41503197
10.359823,0.4092202
10.22659,0.3911511
10.103729,0.37831303
10.134791,0.38006932
9.991675,0.39607802
9.878213,0.40513408
9.793722,0.4054544
10.284522,0.38248855
9.902678,0.39435345
10.611031,0.39838737
9.90797,0.38803765
