LE,gammaE
21.020947,0.4339551
20.12171,0.44436312
20.87854,0.4538459
20.87854,0.4538459
20.210037,0.45179287
21.986504,0.44214788
19.64588,0.4454646
20.479324,0.45918196
19.87992,0.44356146
20.00106,0.4355219
20.648544,0.45492846
20.157982,0.43798232
20.157982,0.43798232
21.732754,0.4384947
20.064358,0.43059036
19.552559,0.42786157
21.598955,0.4256399
23.022148,0.43197158
22.74442,0.43110752
21.96883,0.42725173
19.97206,0.4595433
21.991444,0.43821535
22.646057,0.45486245
22.53415,0.43559244
20.188755,0.44932503
21.921976,0.4383399
22.081537,0.4253671
22.877794,0.4227741
19.782717,0.47803298
21.790728,0.4420917
19.92217,0.44659314
21.65236,0.43985018
21.311172,0.4206421
21.311172,0.4206421
20.221031,0.46982738
18.578476,0.46941072
18.0926,0.4668631
18.690449,0.45843577
21.263237,0.4446702
20.940964,0.45198402
21.425674,0.44020078
22.439,0.4445519
22.046286,0.4297951
20.543741,0.46017933
19.611332,0.44539037
23.18702,0.42934158
22.564827,0.43507454
21.236223,0.42836007
21.292534,0.43667033
23.426765,0.41583055
23.487507,0.44724968
22.754642,0.43126956
22.267855,0.42516735
19.912142,0.4471034
20.7215,0.45294777
19.080996,0.46756083
21.764875,0.43702504
21.172888,0.4582268
20.154503,0.45424634
20.7414,0.44288853
20.980015,0.44044018
21.230938,0.44264668
24.619947,0.41409397
20.647202,0.44040847
20.804188,0.43620986
20.042942,0.44016832
20.582294,0.44878593
21.450714,0.426592
22.552526,0.42258537
20.50447,0.43314883
20.230848,0.42885786
20.68473,0.43957415
21.318583,0.44252098
22.229694,0.43356827
21.308943,0.4402633
22.566399,0.437422
21.24187,0.44627044
20.985432,0.43536207
22.904127,0.4248668
23.511665,0.43679404
23.131863,0.4388605
21.962242,0.4151037
23.505522,0.43323514
19.885195,0.43885404
20.532728,0.44768173
21.393513,0.4336625
21.185825,0.45342806
22.870335,0.4131633
20.609661,0.45694664
21.242817,0.43350312
21.98433,0.43845314
22.110754,0.42263597
21.870335,0.42413554
21.09665,0.4451208
22.591198,0.4490502
22.687654,0.4579593
20.958267,0.40879685
23.961395,0.44741103
21.864792,0.40960407
23.177494,0.42098048
21.733068,0.43793464
21.112202,0.4368654
21.847029,0.44706038
20.942581,0.45324737
21.140217,0.43114278
17.905727,0.45974076
19.243317,0.4766013
19.5526,0.4850108
22.992538,0.39019024
21.744,0.46276593
20.558395,0.4114457
20.903275,0.4203298
22.104366,0.4530251
22.157404,0.45740828
21.796953,0.45654887
21.616137,0.45978802
20.707222,0.41902202
22.848637,0.42052343
22.444817,0.434583
21.418243,0.42755333
20.664246,0.43947977
22.667023,0.45410204
22.667023,0.45410204
23.658997,0.41034532
23.559675,0.41483897
19.557491,0.46192455
19.913647,0.4509568
20.869476,0.4554932
21.536987,0.42429718
24.35256,0.43703333
22.630594,0.41793025
23.545412,0.41149506
21.502836,0.43347347
22.667221,0.4286295
20.632698,0.44800708
22.604134,0.44001
20.943321,0.428912
19.89648,0.43110612
21.148918,0.450321
21.87289,0.42471647
22.805326,0.42849022
21.658825,0.4463985
20.050797,0.44210535
20.549232,0.45803666
20.64159,0.41808867
21.028992,0.41635326
20.945698,0.4672215
20.19042,0.4696604
20.692505,0.4658778
20.016125,0.4454092
21.366507,0.4188759
21.995747,0.44901666
21.190346,0.45226863
20.52845,0.4574017
21.12267,0.44614246
20.701786,0.43717554
20.752495,0.45376813
19.345228,0.43861508
21.0994,0.46303803
21.64916,0.47032064
21.789818,0.4136983
23.454193,0.43914667
21.365967,0.42288977
23.366537,0.42813978
23.327372,0.43887126
24.18116,0.43900636
20.667439,0.4395321
22.325708,0.42548573
22.333477,0.42517737
22.682564,0.42279044
23.78778,0.4274829
21.615286,0.41414696
21.84977,0.45260665
21.694025,0.4552755
21.425991,0.4482179
20.882063,0.43338764
21.360989,0.4304627
21.648628,0.45034206
21.279396,0.4369997
21.03693,0.4212925
21.81829,0.45358077
21.094255,0.42216834
21.528545,0.45616204
23.850231,0.43820003
22.003773,0.397713
