LE,gammaE,LA
16.804702329314143,0.3427921754829201,27.25426011975133
19.970815510247927,0.333579079690336,30.78387794291102
20.047407697289486,0.33712844715516366,29.941248610917235
19.22534050588634,0.3306439682735913,30.084481925009555
19.25933291155982,0.3299653000376791,30.694156313745122
18.61244557712128,0.3394239641276528,29.186830995800577
18.6101693146049,0.33582985629389167,27.04976872319648
19.01150938185192,0.3269891949984333,28.540037897213555
19.192604843580817,0.3322168066457504,24.16996498493165
19.812991878762237,0.33790267996355805,29.36804218339126
20.35995705818804,0.3440321927640553,29.301934897745905
20.413384825904853,0.3247768107883292,29.10901742530339
18.81665391453682,0.3262267972470355,27.063428987509706
18.81665391453682,0.3262267972470355,27.063428987509706
20.796436886426008,0.3166611948670947,27.330288336397913
19.04840609352157,0.34123826247029676,26.065412468050702
17.544336972586862,0.33321360123178845,28.235590654390823
19.124784420979594,0.33570240606610136,30.894916636215356
19.34576580749717,0.345025401574695,28.204332598433062
18.603323036637214,0.3211193768941434,26.018806562549152
23.35625759802551,0.3214774243081293,24.535071799226486
18.506114484151794,0.3368151881776635,28.043775353279827
19.91172369182094,0.3312781634349901,28.88075757190302
18.931391860375882,0.32894161462854266,25.71529926728862
19.533358769358525,0.345476505895076,29.232165473882972
17.839447143373118,0.32186939299934036,25.687609790060748
19.55218745584026,0.32277879232849377,28.279734172108782
21.3155414241378,0.3236530169422164,28.752855130806182
17.80730464494584,0.3401039877066903,28.452367799967053
20.84866516500235,0.3288854383778373,25.657075335769534
23.7827155512247,0.3162919709245424,23.499437934948293
16.12164147666857,0.3432731901453663,29.726412520316252
19.605894022679554,0.3182106650068289,24.757796651585128
19.04448256712459,0.33983734427166545,26.646871806996636
19.263564638875952,0.3361538913538653,26.26045342350691
16.266961758045532,0.3454235766387498,24.83000144526115
19.038961297543857,0.34117148576803663,27.48193764077636
18.550801296510553,0.3255113116552383,32.56744377358539
18.4111307756835,0.32500146807833563,32.86145115956215
20.312214657251452,0.33222622319296896,28.053722987270522
17.750205370452374,0.3454246240141117,27.3866555353292
18.989125010515476,0.34832159406304797,31.49915528422566
18.48694366612488,0.3214805148246432,24.07783625934557
18.64415952954049,0.32197534171877346,23.972254062955937
19.737182871052372,0.3344173078777127,27.071237088282338
18.39670629647374,0.3244241025277852,26.562616882086193
21.632162181408873,0.32888350418020934,28.253717716344127
18.805738418381388,0.3239040567629973,22.80583792751331
18.844798434583637,0.333949021390551,32.167970905849074
18.285089517589068,0.341677145757401,31.08115465009898
19.83788860203062,0.3266167483634147,23.217025879392835
19.782577843005374,0.32684003410498,23.98124459805339
20.147740738183945,0.32790267028933495,28.94429020205315
20.147740738183945,0.32790267028933495,28.94429020205315
17.600701327357708,0.3355289779150924,25.6433715745388
19.35097988071242,0.32177164180319,28.498717947761307
17.135689967836537,0.3468620051366953,32.634081065502436
18.992520044143465,0.34000395913644993,33.61184700757072
18.637753131293085,0.3413562083390393,27.88476854140428
19.69122844194139,0.33216248193040065,25.997816749207065
