LE,gammaE,LA,LS,w
42.93005,0.42953077,16.604708,472.77515,0.44824904
48.026707,0.43486136,14.918491,353.67102,0.43445408
42.593346,0.43793088,17.200052,515.514,0.4872454
38.431297,0.4730406,19.44641,391.4802,0.37829608
41.220196,0.47992077,16.67348,416.37198,0.4509468
45.132698,0.42428738,19.529058,300.1308,0.5614803
46.849407,0.45062196,21.356264,266.6682,0.5949351
43.72629,0.4505925,15.919717,439.6542,0.48587397
45.011,0.45452312,15.0207615,357.62387,0.43254828
36.83914,0.48272458,19.650871,321.51514,0.48472476
45.897144,0.43648404,18.125307,333.5496,0.49040002
40.6096,0.47656053,18.499842,323.61542,0.5058927
44.221214,0.45940295,17.737654,363.25043,0.47712982
42.055916,0.4657876,17.03104,321.21402,0.47913656
44.871258,0.44064113,18.369423,358.81888,0.53206307
40.257355,0.45140234,15.565685,433.12354,0.47921857
40.149475,0.45331526,17.487534,381.8254,0.51270515
41.45139,0.45057547,17.078104,319.50815,0.5546525
41.986866,0.44155905,18.73653,297.32056,0.5516056
41.08033,0.45049703,15.756352,423.97684,0.49915612
39.800316,0.45685083,17.4786,384.1394,0.5342383
42.343567,0.4475873,18.226902,322.83075,0.5242221
42.463154,0.45533893,17.624672,356.87994,0.5440787
42.423477,0.45145324,17.25236,353.99768,0.5321327
49.685425,0.44640064,21.371078,334.76025,0.45873258
44.95831,0.4654635,23.0053,341.82782,0.4372035
42.44552,0.4514416,21.388546,408.64078,0.48802564
38.084766,0.46438938,19.8875,267.06433,0.59768003
39.153004,0.47806105,20.427252,298.2121,0.5341268
40.292614,0.4756939,20.768076,256.5389,0.53679484
39.742985,0.48248923,23.068808,256.41513,0.5462881
38.33159,0.47042716,21.553005,297.39456,0.5932276
37.39032,0.47391456,24.81123,264.73837,0.58874273
43.28872,0.46094584,24.792473,208.7102,0.63441175
38.883728,0.47819558,19.441704,224.3463,0.6311475
40.689373,0.49146345,16.810526,237.20381,0.55480117
42.0604,0.4888317,17.070948,258.189,0.54164064
42.31127,0.47794056,19.798,273.83832,0.52955055
42.066555,0.4356347,18.758978,354.2346,0.5409406
42.64592,0.45455018,15.791952,370.91724,0.45027104
48.425953,0.43071076,17.146626,401.2027,0.5026146
44.35895,0.44804674,19.893614,401.3062,0.43107486
46.06292,0.4571875,19.451813,416.83325,0.42740065
48.979576,0.42011604,13.706999,417.70172,0.43378675
42.208763,0.46333852,21.386581,264.00482,0.56281114
45.629494,0.44787818,17.999704,371.03168,0.47190464
41.932854,0.46465114,19.542038,341.8386,0.48884547
42.571274,0.46605185,22.411095,335.24234,0.51525825
42.342575,0.44591504,21.75021,337.89844,0.527114
45.68551,0.44268188,19.53484,286.5603,0.589942
45.88419,0.44634444,18.032965,348.36823,0.523083
40.639755,0.46259576,18.983982,350.8324,0.5443645
41.90488,0.46117443,16.693512,340.95447,0.48509234
43.58045,0.42509204,21.014515,347.5622,0.5071853
38.414597,0.4683214,19.023045,392.35312,0.5028246
37.71487,0.45519745,18.641151,372.36948,0.5418944
38.699303,0.47111154,25.512646,323.0773,0.5960131
36.853584,0.4775543,27.742332,244.71515,0.5349458
45.727005,0.45239517,16.423088,358.4912,0.59659934
46.072803,0.4416044,17.483963,249.52507,0.5225213
43.403133,0.47415105,16.372517,335.68256,0.50507617
39.395813,0.46436784,21.415604,396.1861,0.5042196
44.227158,0.45307738,16.788403,363.87973,0.53432596
35.512787,0.5007813,19.30491,320.6776,0.45066336
36.85681,0.50102985,18.406853,338.66833,0.47817975
46.873207,0.44890952,18.15197,460.0542,0.40246215
46.61062,0.42070365,13.527402,496.90686,0.4891274
45.46026,0.45243374,21.718746,330.29993,0.55479336
43.342278,0.44209567,22.020119,359.05096,0.51137227
48.092075,0.41378245,17.699213,306.9985,0.59983104
40.359646,0.4923986,22.193619,334.85443,0.49342784
39.657856,0.49364755,23.291252,291.37238,0.56067616
39.67753,0.44226527,20.274862,265.56232,0.5701988
43.997307,0.44199234,19.53209,307.84418,0.59654325
39.93169,0.4871948,19.827843,264.38287,0.5814387
42.187363,0.4716518,19.847862,272.937,0.58279604
42.70075,0.4476217,21.593405,277.62643,0.6182605
42.229992,0.45927876,16.433529,426.42645,0.36976546
43.64479,0.4442857,17.851198,421.1551,0.42754537
43.49028,0.45113078,13.807562,376.12897,0.43943506
39.1932,0.45037428,23.069456,332.1214,0.49782038
42.784393,0.4390337,17.422016,434.85272,0.54083264
43.680695,0.4327581,20.154612,468.2548,0.48704976
44.127888,0.47025675,17.61845,333.7701,0.5132327
49.033897,0.41380498,18.060905,442.7947,0.55546904
47.960114,0.45367044,16.450459,444.05237,0.48520443
46.296265,0.43832785,19.444035,344.95282,0.46497566
