LE,gammaE,LA,LS,w
15.082287,0.332467,26.140669,153.54135,0.8516511
13.261415,0.33259118,28.752163,155.6949,0.8674476
14.082042,0.32916966,26.61013,267.54105,0.86412746
16.022552,0.33834794,25.45984,85.28423,0.8712067
15.171346,0.33687863,27.724533,148.29347,0.8787055
14.178851,0.34846523,25.94787,197.08209,0.8630203
15.796377,0.33932886,28.920912,121.481766,0.86860496
13.911266,0.34159744,23.073061,281.9652,0.83138615
16.538898,0.3327895,28.425426,159.95752,0.86585146
14.658438,0.35061345,25.50575,183.7297,0.8619606
15.017832,0.35429883,26.738064,163.13153,0.83058125
14.779233,0.3253463,23.687733,159.68811,0.8607753
15.119201,0.34935766,26.426888,194.71683,0.82465935
14.532819,0.35407704,25.536446,158.70976,0.8306518
14.103404,0.36193308,25.350101,188.03526,0.83588296
14.6091,0.32258278,25.171831,327.2654,0.79666734
15.823075,0.34991178,23.53585,255.22676,0.8207241
13.79899,0.3312172,25.221941,147.04356,0.8940227
15.123336,0.3204747,29.482088,132.90785,0.87841064
13.002218,0.33456257,28.584599,124.72042,0.87765175
12.803558,0.33950788,29.947933,118.223885,0.899804
14.382717,0.31985044,26.168032,141.72566,0.8961546
15.081755,0.32974377,27.526983,145.21068,0.8639152
15.070281,0.3372353,23.85449,208.87746,0.85275143
17.69925,0.33871487,29.178484,185.06628,0.8183687
16.143854,0.35821268,31.03088,189.94919,0.8017564
15.59406,0.34053314,29.972578,267.50787,0.83813316
12.948594,0.33178648,26.345068,108.39045,0.8965526
15.170341,0.3380799,27.596752,216.55031,0.8621896
15.45495,0.33659863,27.821854,148.72012,0.8598496
15.738557,0.32732317,20.923025,216.45625,0.8510367
14.334555,0.32963732,28.37298,183.25784,0.85223144
13.900919,0.3395274,31.110178,174.13412,0.8817902
15.746428,0.32932737,30.73247,97.452095,0.8953249
14.509668,0.33781004,24.43181,294.09216,0.82544
15.567518,0.3489016,22.589539,224.9598,0.8056651
15.967745,0.3471667,23.113867,218.69772,0.8221169
14.034577,0.32946518,30.065258,188.97394,0.8660854
