LE,gammaE,LA,LS,w
15.874573199039995,0.3750170864093671,26.12782634032843,178.70708537189205,0.8249218455441216
16.48071563611688,0.36742225040542514,23.829256983911957,182.47963398226403,0.8217844769480782
18.011836707036878,0.35130493632766835,24.526462823331684,113.26508408310487,0.8689400147750604
17.962449383633103,0.3500181005961947,24.698742761371097,113.71077218619818,0.8781425446109583
15.125172348098694,0.3680473728564062,25.66497900784332,160.0047337127496,0.8595957425143522
17.352502571155675,0.36186046187728305,23.15391330151671,189.35673040472122,0.7984366608963455
15.155811767744249,0.3630266784008864,25.9699585202282,160.4985181822832,0.8743081070638435
18.130315481462393,0.3673130002213278,21.604349760356058,189.23712898236568,0.8245471514438076
14.88184348238779,0.3620317901992285,26.943736039281024,173.0142952560519,0.8807516047103868
18.17025623994403,0.3672647209611309,22.267617214436825,167.47868897154592,0.8233258962700203
16.685101701389694,0.36714684349486637,25.20675450651378,201.68110555497296,0.8121873383993384
15.585268564931296,0.37418500825903267,24.029258243022188,321.04903825190473,0.81930387439235
17.087092647830126,0.35935956149242787,23.24676508544583,100.2433936945685,0.8816083292829943
16.098954663336276,0.35981102560999895,21.81118125807309,112.95461491737242,0.8742252936450725
17.120401979471424,0.33877793046211524,24.919282546421623,211.55769240999302,0.8562035885027407
15.1768515690254,0.3659216650551487,26.933014769520092,129.90991772641814,0.8682680166330577
16.31315541107926,0.34425559537954487,25.76310064657502,119.95470675286748,0.8934099241782938
16.636638389452617,0.38302262869663184,23.786986048016885,140.33620657782697,0.8236793406731157
16.009495602393933,0.3432227375354978,23.664606719006795,175.60879257939573,0.8438616452230238
16.003471728760854,0.3837981626733007,26.369878081010867,143.84318111440862,0.8578767424405449
15.842561681717026,0.37807948631494487,25.517655472126567,171.32695006825702,0.8684936953649651
15.350624584137206,0.3668140748849949,23.497123643115916,207.83759604960295,0.8691699121327022
17.51011340112302,0.34662834844453055,24.69437604623378,122.32335578593803,0.8378084860427124
16.822090239011747,0.37252502164816603,22.68698776662654,163.9718526920365,0.8433083448751042
17.68393263286114,0.36920406319305077,23.479975888806997,194.73859075951904,0.8532049409410887
15.133379863652433,0.36520729196787116,27.51405072906925,171.8918290322185,0.850614235086749
17.485101137862532,0.3612928378708402,24.536657382580206,163.33492793211894,0.8244549847193537
