LE,gammaE,LA,LS,w
30.268263,0.4085745,20.801558,223.43585,0.66960907
33.672764,0.3975676,17.120098,170.94627,0.67131174
30.728834,0.39185125,18.938839,228.33913,0.67085636
27.255333,0.4362609,20.851435,172.33385,0.70024323
26.872337,0.42576605,21.752647,163.04816,0.6843375
28.77617,0.41368967,21.986515,150.61661,0.7074756
30.37488,0.4186153,22.80556,122.42253,0.74406487
31.126278,0.388681,19.094011,189.35965,0.7288973
31.289158,0.42238674,19.87374,178.84953,0.6866146
29.187538,0.44413534,18.713459,118.65451,0.736991
29.821009,0.3886822,21.642544,169.38197,0.72536147
29.62946,0.4243097,20.368809,139.3162,0.71218574
30.523798,0.39700562,20.324148,182.3153,0.6962473
32.118668,0.38393146,20.638378,199.05658,0.664797
33.425682,0.37607273,20.55455,192.62605,0.69384795
27.972631,0.40490007,17.372057,230.83305,0.6356779
30.894112,0.41323778,19.080748,258.70032,0.60344946
29.071293,0.39743704,20.312927,140.64098,0.75617313
30.139292,0.3903075,22.46603,128.05568,0.7558004
30.767014,0.43444595,19.852442,191.01242,0.66507465
29.8504,0.43531853,20.583483,166.59636,0.6889095
29.93083,0.43698505,21.028027,164.00203,0.6579031
29.791653,0.41770753,21.337492,161.43893,0.70010316
29.233963,0.4122449,20.496391,147.69145,0.7280246
34.25934,0.41109833,22.926235,157.14328,0.6894516
32.625645,0.42398107,24.134111,144.34491,0.6465023
31.876917,0.41505077,23.790495,194.74619,0.68479705
26.320938,0.40150598,22.057617,113.3336,0.7703592
27.707317,0.41992313,21.594208,141.55107,0.732578
32.589806,0.3953916,18.166052,185.1046,0.6483742
32.628475,0.39068702,16.320965,235.23053,0.66817373
30.005316,0.39071888,19.099417,195.40979,0.6627026
29.144836,0.40168607,21.26975,196.11792,0.7097875
31.369448,0.3933775,21.67566,129.74507,0.7349414
32.508995,0.3947199,21.918592,174.66434,0.7128367
28.414463,0.42815602,17.926817,181.55681,0.66502315
29.062845,0.39993975,22.256956,187.55135,0.69027203
30.04188,0.39958525,23.700403,170.91098,0.70898736
30.10209,0.41009966,20.012615,132.08722,0.73906785
30.08173,0.39668527,21.437908,226.50623,0.66298676
27.306307,0.42035544,20.678814,191.97418,0.66496646
27.230774,0.4314998,22.239367,210.4033,0.63541037
29.865307,0.43183336,20.888597,188.6063,0.6326034
25.369253,0.41081744,22.045805,123.61832,0.7780593
32.807858,0.41610926,20.312946,140.27696,0.69936526
32.429092,0.42253667,20.45132,147.9277,0.6872615
34.8436,0.38143837,17.804075,191.00476,0.6745835
34.594963,0.3895192,20.211452,188.32867,0.687909
33.89125,0.38115045,20.464333,185.26929,0.69281775
32.857784,0.3886477,19.960121,145.5462,0.751089
32.599854,0.40345508,19.047049,145.0029,0.72380096
29.921434,0.41401738,21.69524,161.35289,0.72261184
30.411407,0.412843,20.361202,155.79248,0.6896735
30.721663,0.38507947,22.329353,154.6039,0.7044448
29.00815,0.4428808,19.08823,168.76105,0.6934434
29.73716,0.44719514,19.701677,157.04335,0.620154
30.31486,0.40537888,15.00671,310.09476,0.62650716
31.545458,0.38699925,15.985993,248.65125,0.570975
29.556288,0.42257702,23.725311,102.48666,0.7689746
30.321178,0.38100198,20.787312,226.19267,0.61976874
28.060349,0.43418086,17.079456,211.7818,0.6222602
27.574106,0.40253338,21.244648,196.67485,0.6917115
29.611248,0.39663717,19.855639,192.93713,0.7193353
26.295547,0.43589386,20.71055,153.95724,0.6766007
32.32351,0.39508453,19.699734,142.90732,0.70548683
27.27304,0.40606055,19.523716,200.28508,0.6491042
32.14899,0.40808898,22.117958,98.656,0.75743985
31.313023,0.4038068,22.538239,134.93495,0.74697953
28.000763,0.41510952,20.876928,185.50638,0.66464
31.794273,0.42183834,20.167616,131.01189,0.70499235
26.055027,0.40404284,19.524414,155.85199,0.76279867
27.254189,0.39878768,18.638561,200.18768,0.6677925
33.041943,0.41858888,22.113422,128.19492,0.7459746
32.753376,0.39972553,21.223915,114.493774,0.7275444
30.296507,0.4405838,21.413864,93.0125,0.7274859
30.308334,0.37595227,19.088058,261.1622,0.68563014
27.056839,0.43452442,20.629631,89.017494,0.76724577
30.885767,0.4132206,23.998169,150.07477,0.6927614
31.110817,0.39955765,24.173655,141.10158,0.7088694
27.747404,0.41068634,23.541777,146.75433,0.75277674
29.22659,0.41673112,23.797352,130.68095,0.7124702
29.268421,0.39316556,20.897177,183.45526,0.73404324
29.140133,0.40894255,18.986286,124.379105,0.7266999
31.835068,0.39885587,21.529095,187.71526,0.680487
33.322067,0.37737468,18.131094,189.48447,0.7387844
31.860239,0.3887593,19.783834,241.61365,0.68889207
28.988869,0.39958408,17.345404,204.88771,0.6577472
26.892738,0.39539847,18.422852,288.82724,0.6144644
31.230793,0.41012675,20.865149,143.05234,0.70860356
29.608833,0.4502925,18.99679,78.806564,0.7424412
28.862574,0.44042087,19.682602,135.08585,0.72106665
29.50634,0.42633438,20.83506,152.21054,0.7270585
29.082163,0.39617008,19.637215,159.06381,0.6862221
28.957514,0.39466786,18.311634,160.19658,0.66787815
28.589909,0.4248071,20.348871,255.98315,0.6699806
30.716915,0.41920203,17.748575,215.4579,0.6951811
31.492622,0.406585,17.28036,159.09157,0.6491388
31.419933,0.3935195,23.17095,105.21184,0.7475202
30.571968,0.4104116,22.620914,172.20808,0.7302833
29.918516,0.40554407,21.865564,135.4714,0.6964105
29.698296,0.4128615,22.626476,149.71355,0.721113
28.942535,0.40958005,19.638647,216.15167,0.6338657
31.204967,0.3886415,17.325697,252.75644,0.6716674
28.48041,0.3891285,17.797262,218.44281,0.6406758
30.820204,0.40574172,20.571102,206.01953,0.6391679
30.332008,0.37824357,19.67681,259.72644,0.7091991
27.335827,0.41967636,20.603033,122.65573,0.7284025
32.04902,0.39642426,19.593084,193.31793,0.641303
28.12865,0.41669893,19.78338,152.38156,0.696842
29.748455,0.4017064,19.859644,147.39548,0.77034485
28.959578,0.40789607,19.356485,197.69247,0.6889182
29.164597,0.3779672,19.177853,240.77258,0.6457387
31.143774,0.42559174,20.151176,126.020836,0.70071673
28.681625,0.39677158,20.477987,153.84923,0.7528768
28.536362,0.41652521,21.741264,158.56673,0.7065447
29.679184,0.41864365,20.923628,145.7362,0.705047
31.408865,0.4070096,19.269901,188.04745,0.6766033
30.251122,0.39870977,21.756319,144.6129,0.748067
28.863495,0.39708397,21.601116,154.19199,0.7104644
28.31321,0.43809244,19.329315,126.03814,0.7436206
30.515312,0.41309467,20.911673,180.18224,0.6729106
29.382458,0.40241137,21.659443,192.11467,0.6854968
28.099333,0.39129868,20.084644,197.09741,0.6974396
28.076952,0.38980666,20.239794,204.95728,0.7008309
31.044827,0.42759648,20.342525,107.13522,0.74070424
30.860115,0.42045635,17.87086,139.43788,0.71480227
31.44941,0.4232172,17.736555,141.62831,0.7154824
31.542795,0.43951404,18.027424,116.55789,0.7017079
33.97718,0.4074856,18.195152,125.45987,0.7365613
25.868649,0.4328489,23.341242,153.7426,0.7041748
29.002466,0.41833845,22.635086,197.85005,0.6639332
29.335741,0.381623,20.020031,184.22353,0.7409715
28.841614,0.39563128,20.985222,134.36832,0.74250317
27.796394,0.4053237,21.37743,128.23361,0.77171856
29.754385,0.4228596,21.615828,139.70135,0.7228751
30.308754,0.42438444,22.005505,97.13574,0.7487081
31.767384,0.40547395,17.75801,185.65752,0.6699813
30.7983,0.3957092,21.165285,186.97826,0.69165796
30.663559,0.3998501,21.73285,227.21065,0.6619095
30.78256,0.39391738,21.413534,192.93906,0.6704358
29.96286,0.37869975,18.651367,227.7113,0.7075744
28.935202,0.3876596,20.145643,198.88684,0.67727506
26.47984,0.41949886,22.245731,147.26459,0.7693067
27.830122,0.38328797,19.878302,250.61327,0.6618257
27.710302,0.39090326,19.156565,246.71881,0.65711397
28.729336,0.39433712,20.996483,209.94781,0.66449356
27.402248,0.39897624,20.623291,185.73128,0.7016404
28.436579,0.41024557,20.483253,161.19318,0.73174006
31.012691,0.39844963,21.653954,174.27376,0.72007453
31.204914,0.40455562,20.683403,186.10123,0.7280036
29.358166,0.39176548,19.820553,236.28986,0.6537455
28.209202,0.43409994,19.410229,164.68207,0.6549867
29.506094,0.38298187,19.559162,176.4797,0.6973736
30.4579,0.38003716,18.664074,264.89392,0.68828815
28.177488,0.41228274,22.4808,119.89465,0.7402657
31.623661,0.404732,18.570475,161.72641,0.66549814
32.027798,0.40458086,19.421019,175.79124,0.67277193
28.18324,0.41518185,23.548033,138.1695,0.7101884
28.524323,0.42203224,16.501013,145.24814,0.71038413
31.797056,0.37669516,24.254915,161.07515,0.71360475
31.37333,0.39519477,24.226873,159.53339,0.75035465
31.055235,0.40007108,23.04243,129.74246,0.7391538
33.36832,0.40339348,21.136879,142.98715,0.7332499
30.973003,0.40256682,21.686106,145.25563,0.72302055
28.852617,0.39924946,19.82468,120.51299,0.7714468
28.134747,0.38770708,21.584677,162.3035,0.74995136
26.747948,0.38521868,19.174482,210.268,0.74893636
26.306904,0.39839026,18.583916,166.55649,0.7026881
30.796339,0.40947548,19.746786,146.18889,0.72654897
31.057827,0.426174,20.148283,138.16132,0.6888788
28.035774,0.40149853,20.56865,192.71306,0.722613
32.623234,0.40245193,20.30587,118.64846,0.757777
27.784939,0.4343022,21.22624,175.02325,0.65291023
31.6512,0.44079614,23.654213,148.98628,0.6862941
29.255926,0.41709396,19.944933,103.140015,0.73803324
29.245054,0.4016577,20.708517,234.83527,0.64706326
28.84629,0.38798463,18.739162,255.6677,0.6766381
31.673107,0.41573584,21.027828,141.80962,0.7046225
30.335278,0.41793767,21.173687,186.33618,0.66107154
29.847548,0.40990537,20.66099,202.29735,0.711948
30.16236,0.4207796,18.563982,154.39644,0.71883893
31.37828,0.4329148,18.162653,118.3881,0.6993304
29.39701,0.41820848,22.374046,100.08754,0.78302956
29.156672,0.41742322,22.557312,100.76312,0.7875146
29.817823,0.40239307,19.909199,144.91028,0.7081468
33.29021,0.43101567,18.020576,157.13339,0.67896104
29.52123,0.3911054,21.927649,165.68863,0.70041054
29.398455,0.41890258,22.168324,174.7274,0.69183725
28.645966,0.41612446,21.784649,165.2311,0.69063985
27.528118,0.4022915,18.047403,200.46031,0.67594224
31.859358,0.40962762,20.85793,191.44025,0.67844665
27.989317,0.4130212,20.095755,170.74228,0.7255188
26.599644,0.41002688,20.52969,197.02675,0.7247015
28.551851,0.42143962,19.695751,133.34218,0.6982791
30.132832,0.3914058,19.807898,203.70265,0.7208525
31.58694,0.39019704,19.65695,193.45634,0.655152
32.385777,0.39467886,20.186516,146.40039,0.7222257
32.14237,0.40624917,19.682587,140.59277,0.69490117
29.21228,0.36967987,18.56299,155.20996,0.7856809
28.308613,0.41080338,18.851906,186.16174,0.66976666
28.187178,0.40313768,19.004642,162.7062,0.693033
29.061619,0.41976428,22.957106,161.84683,0.6835721
31.056355,0.38264567,18.259684,116.248665,0.7562643
28.572382,0.4327617,23.9416,162.4596,0.6806051
29.157757,0.42473716,20.955729,126.71674,0.70202076
30.073986,0.38858283,19.450224,239.93124,0.68534577
35.112293,0.40409952,18.638943,131.9929,0.71038574
33.52766,0.39307275,18.728788,152.14249,0.7169879
32.535507,0.3839225,20.834316,158.69803,0.7037507
29.182278,0.40854794,19.039413,168.67842,0.7316224
31.804949,0.3902051,21.419472,177.2993,0.7131858
31.275047,0.39024177,20.841059,156.67513,0.7005226
26.96543,0.40637985,21.533182,170.9435,0.69039947
29.391523,0.3889492,20.125511,187.62282,0.712932
28.073812,0.42708504,22.894445,152.88478,0.7118877
28.307014,0.42169243,19.641222,176.0456,0.6851141
27.396416,0.41795436,24.16033,191.55475,0.6775908
28.27831,0.41755515,24.772121,127.15187,0.74741447
31.313396,0.40340433,19.56623,275.73376,0.6158831
30.441006,0.41058296,23.632557,127.197174,0.7696246
28.503044,0.4141248,18.919685,165.03598,0.70334965
34.335785,0.40684035,19.633938,159.5467,0.6993268
32.532814,0.39210704,17.825958,169.03261,0.69571066
27.064342,0.42359647,24.814165,115.026985,0.7504394
30.400818,0.40653965,19.466143,179.69128,0.66402346
28.392143,0.40210873,20.7995,175.27966,0.6968872
27.672005,0.44060507,18.762856,182.93811,0.6668346
30.3022,0.39377445,20.66546,248.7065,0.6551727
30.244682,0.3956427,20.008732,251.37302,0.6529903
31.29118,0.3935805,20.275337,146.61661,0.75464106
32.77288,0.39954042,19.349234,183.1276,0.6652384
26.299204,0.4034742,21.022322,183.22961,0.6984507
26.963707,0.4083847,20.926102,183.55466,0.73462737
30.244263,0.4083841,21.970545,225.84253,0.659772
29.628414,0.3930568,18.916061,191.21153,0.73533076
30.4264,0.41207713,19.871689,213.52283,0.65298444
28.520084,0.40955338,21.268631,126.83335,0.75469434
28.7524,0.38577965,22.97587,195.58084,0.7205668
29.548206,0.40389735,18.997774,211.74222,0.6595833
30.82659,0.41298616,18.89862,226.29172,0.6438701
29.653786,0.40831572,24.048544,105.26458,0.75757587
31.00056,0.4266349,17.693422,147.64279,0.66220677
30.54917,0.37839463,22.445192,212.8505,0.66270274
28.45196,0.44781575,18.06956,141.97937,0.7157398
28.216991,0.40388647,22.905712,218.75363,0.69992566
33.24361,0.40529823,20.869934,166.82753,0.7141137
32.091705,0.39811224,18.975435,159.2688,0.6722765
28.12678,0.3982175,18.257294,217.50984,0.65122855
30.506212,0.41813985,21.826056,129.54211,0.7452308
29.027798,0.39873594,17.985512,275.83804,0.61455905
30.461174,0.3888728,17.572453,262.36972,0.6302745
28.866276,0.4009276,17.947336,214.51048,0.65045834
30.397287,0.39755067,19.449566,220.04681,0.6741495
29.057165,0.42274028,19.906277,198.00607,0.6667522
36.796825,0.38358772,19.521368,234.05049,0.6270939
29.574799,0.4000107,19.73791,188.75214,0.6948973
30.90934,0.41167426,18.988321,224.53712,0.6370035
30.356455,0.4108606,22.34664,117.57198,0.732979
28.624256,0.4308524,19.10408,99.76196,0.7172291
29.518745,0.44085583,19.725418,149.81795,0.66780794
30.670418,0.4059864,21.134718,168.37161,0.71049494
28.07681,0.4195764,21.896704,153.20508,0.70812625
27.192738,0.41146433,21.840311,180.9795,0.6880796
29.85248,0.44401518,18.193874,167.48079,0.65210617
29.836739,0.40522152,18.339045,159.05365,0.67759275
29.757479,0.42471775,21.878351,105.774475,0.7252452
30.48584,0.43429753,21.793943,105.644226,0.71407574
28.168205,0.3981039,22.476229,141.40549,0.77208334
31.250853,0.4278938,19.670898,127.13841,0.66534466
28.781933,0.40810516,21.713593,123.88829,0.75406843
34.648228,0.411091,21.647245,100.23202,0.71148664
24.966545,0.43136775,19.755686,186.09528,0.7142284
33.639793,0.425732,20.844913,145.85564,0.70093876
28.717749,0.39441445,16.678791,129.13396,0.7295607
29.103811,0.40937644,18.921362,159.40594,0.74470216
31.764088,0.39392745,23.70569,161.918,0.7338654
28.865513,0.42262933,19.870602,167.71527,0.7067454
27.948606,0.4241676,20.174671,129.35071,0.7173066
29.23277,0.42027247,20.847538,132.32785,0.71765447
30.842293,0.4090012,19.55179,160.23524,0.6700616
27.412064,0.42030185,21.151402,167.86176,0.70353335
31.368273,0.39728266,20.65229,169.02325,0.7201939
28.018847,0.4163476,18.741503,152.95842,0.70355254
28.821033,0.4139585,21.17573,170.1386,0.71453
30.853199,0.4047712,22.46167,153.75732,0.6943034
28.929276,0.419409,21.402538,138.62404,0.7143758
29.78136,0.38389805,20.03022,192.04771,0.6815355
30.997086,0.429716,18.151083,151.78061,0.6395782
31.460861,0.4367061,18.687206,150.71582,0.6517329
30.202822,0.41047692,20.017447,203.87456,0.6649165
27.920307,0.39893344,20.079466,212.0418,0.6689148
31.417784,0.40534145,19.841185,169.40096,0.70217395
27.454008,0.42336053,23.764463,183.37234,0.73508257
32.400845,0.39092165,21.281021,236.05472,0.7043042
27.426563,0.43819845,22.834581,129.19907,0.7704876
31.645178,0.4063566,20.720612,126.79671,0.73780924
28.814926,0.41586247,20.781757,136.60985,0.7399906
31.751451,0.42857057,16.305988,207.67091,0.61167747
30.232864,0.416704,17.454855,249.59671,0.6464841
29.190365,0.40278676,16.745745,203.21078,0.62590295
29.172935,0.40960592,20.854378,282.01807,0.6374947
26.678127,0.43068966,18.189358,317.7792,0.57355225
29.004318,0.4083978,21.66458,177.47084,0.6782344
28.54993,0.39035425,19.95138,164.52808,0.6830607
28.355053,0.39007473,20.64591,175.61078,0.6653112
25.918869,0.4130156,20.863405,183.80507,0.69842595
27.48057,0.3899403,22.035864,206.28888,0.70709294
27.820515,0.38963982,21.885153,221.25806,0.6762536
28.681845,0.39607662,22.34857,225.80257,0.65590596
29.3839,0.41409478,20.045279,193.59872,0.6614403
31.233906,0.37722358,17.845001,171.24658,0.66968465
32.34155,0.37141228,18.898363,184.06906,0.6802606
32.24459,0.39142236,16.792612,230.55794,0.6788728
32.37651,0.3998392,18.252417,166.40613,0.68644166
32.286617,0.3936045,17.903748,158.45879,0.67196167
27.770119,0.4251121,22.941944,202.43678,0.688889
30.508999,0.41586897,22.323128,190.94656,0.6681732
27.830606,0.41036013,20.2844,152.68173,0.74114394
30.45577,0.39776126,21.372444,137.9258,0.71558374
29.932207,0.3919858,21.292257,130.49992,0.7064311
28.912666,0.40123412,21.960897,133.48703,0.73330134
30.735106,0.42947268,19.804253,166.41335,0.6654647
29.976593,0.39671144,22.417679,153.52576,0.7078424
30.319117,0.41174242,19.791403,183.8937,0.64387995
29.293644,0.42243585,21.073689,177.23422,0.6236805
30.04766,0.41576725,20.956785,208.70552,0.65971196
27.667194,0.41016358,21.435469,208.39417,0.68014735
