,Latitude,Longitude,Vs30,subregion,medianim,total_std_dev,within_ev_std_dev,between_ev_std_dev
0,37.79312517260514,-122.45062508233028,423.91296,SF,0.2891601030687541,0.647570013688854,0.5674286385128987,0.31204432830029255
1,37.79312517260514,-122.44979174903028,336.55225,SF,0.3309283362716518,0.625147777142773,0.5508904614734703,0.29551555411534125
2,37.79312517260514,-122.44895841573027,335.83463,SF,0.33252093541367567,0.6247002581462681,0.5505613481073536,0.29518234110161023
3,37.79312517260514,-122.44812508243028,733.4,SF,0.19670906082409487,0.6726673694299005,0.5860458373736197,0.33019943427085857
4,37.79312517260514,-122.44729174913026,733.4,SF,0.19742462247623613,0.6726598992916328,0.5860402803864061,0.3301940791105319
5,37.79312517260514,-122.44645841583024,733.4,SF,0.19814338927770225,0.6726524173215975,0.5860347146066586,0.33018871544085343
6,37.79312517260514,-122.44562508253024,733.4,SF,0.19886536644188527,0.672644923661968,0.5860291401401818,0.3301833433636135
7,37.79312517260514,-122.44479174923023,733.4,SF,0.19961601663823172,0.6726374184577228,0.5860235570948668,0.33017796298261526
8,37.79312517260514,-122.44395841593024,733.4,SF,0.20034452196535976,0.6726299018566801,0.5860179655807155,0.33017257440369946
9,37.79312517260514,-122.44312508263022,733.4,SF,0.20107625201919144,0.6726223740095293,0.5860123657098659,0.33016717773476734
10,37.79312517260514,-122.4422917493302,733.4,SF,0.2018112108615198,0.6726148350698657,0.5860067575966167,0.3301617730858053
11,37.79312517260514,-122.4414584160302,733.4,SF,0.20254940224547213,0.6726072851942224,0.5860011413574511,0.3301563605689079
12,37.79312517260514,-122.4406250827302,733.4,SF,0.20329082960682962,0.6725997245421047,0.5859955171110627,0.33015094029830266
13,37.79312517260514,-122.4397917494302,733.4,SF,0.2040354960552667,0.6725921532760243,0.5859898849783809,0.3301455123903745
14,37.79312517260514,-122.43895841613018,733.4,SF,0.20478340436553918,0.6725845715615314,0.5859842450825945,0.3301400769636892
15,37.79312517260514,-122.43812508283015,401.86407,SF,0.3144594690271489,0.6419693068196204,0.5632889695703527,0.3079450075238015
16,37.79312517260514,-122.43729174953016,400.2622,SF,0.3159976996221794,0.6416673502754612,0.5630659445266347,0.3077234643699762
17,37.79312517260514,-122.43645841623017,400.21106,SF,0.3170792898202109,0.64159337208015,0.5630113067795643,0.30766917872212196
18,37.79312517260514,-122.43562508293014,733.4,SF,0.20780749947855776,0.6725541436387854,0.5859616104127496,0.330118262518445
19,37.79312517260514,-122.43479174963014,733.4,SF,0.2085449728259134,0.6725465122743056,0.5859559336301966,0.3301127913545571
20,37.79312517260514,-122.43395841633011,733.4,SF,0.20931227250665174,0.6725388715204902,0.5859502498725845,0.33010731343051175
21,37.79312517260514,-122.43312508303012,733.4,SF,0.21008282288971458,0.6725312215651382,0.585944559279647,0.3301018288808429
22,37.79312517260514,-122.43229174973013,733.4,SF,0.21085662372743094,0.672523562599369,0.5859388619935865,0.33009633784246695
23,37.79312517260514,-122.4314584164301,733.4,SF,0.2116336743489969,0.6725158948176544,0.5859331581590986,0.3300908404547074
24,37.79312517260514,-122.4306250831301,733.4,SF,0.21241449662552292,0.6725082132807974,0.5859274441021038,0.33008533317629596
25,37.79312517260514,-122.42979174983007,733.4,SF,0.2132281091820825,0.672500234068119,0.585921508623404,0.3300796124484957
26,37.79312517260514,-122.42895841653008,733.4,SF,0.21404552977903457,0.6724922429877808,0.5859155643270552,0.3300738831807885
27,37.79312517260514,-122.42812508323009,733.4,SF,0.21486676449513598,0.672484240215687,0.5859096113439528,0.33006814549914987
28,37.79312517260514,-122.42729174993006,733.4,SF,0.215691819034618,0.6724762259311657,0.5859036498075381,0.33006239953201294
29,37.79312517260514,-122.42645841663006,733.4,SF,0.21652069871589305,0.6724682003170108,0.5858976798538293,0.3300566454102977
30,37.79312517260514,-122.42562508333005,733.4,SF,0.21735340846012444,0.6724601635595205,0.5858917016214512,0.3300508832674403
31,37.79312517260514,-122.42479175003004,733.4,SF,0.21823069986512728,0.6724521158485417,0.5858857152516667,0.33004511323942304
32,37.79312517260514,-122.42395841673004,733.4,SF,0.2190712397921112,0.6724440573775106,0.5858797208884078,0.33003933546480496
33,37.79312517260514,-122.42312508343002,312.91895,SF,0.3813118761228635,0.612210318983809,0.541392033737722,0.2858253670960475
34,37.79312517260514,-122.42229175013,312.14194,SF,0.3825850642039347,0.6120719542029323,0.5412906313289166,0.28572106950195186
35,37.79312517260514,-122.42145841683,311.35464,SF,0.38442892863431094,0.611512301504095,0.5408805227413962,0.2852990624061515
36,37.79312517260514,-122.42062508353,311.05753,SF,0.38571191094899165,0.6113727520641341,0.5407782721606785,0.28519379783821425
37,37.79312517260514,-122.41979175023,312.21423,SF,0.3864326260495228,0.611655941756325,0.5409857749210835,0.28540739727423253
38,37.79312517260514,-122.41895841692998,313.30206,SF,0.3871580621833457,0.6119380920715874,0.5411925324821972,0.28562015214917963
39,37.79312517260514,-122.41812508362996,733.4,SF,0.22506277143280629,0.6723873638209448,0.5858375491937687,0.3299986863318068
40,37.79312517260514,-122.41729175032997,733.4,SF,0.22593411899449117,0.6723792266780274,0.5858314963950433,0.3299928518918047
41,37.79312517260514,-122.41645841702996,733.4,SF,0.22680932169371315,0.6723710806845796,0.5858254370235983,0.32998701107325334
42,37.79312517260514,-122.41562508372996,733.4,SF,0.22768837869055647,0.6723629260723022,0.5858193712518187,0.3299811640421797
43,37.79312517260514,-122.41479175042994,733.4,SF,0.22861881250083915,0.6723547630769655,0.585813299255115,0.329975310967532
