Latitude,Longitude,Vs30,subregion,medianim,total_std_dev,within_ev_std_dev,between_ev_std_dev
37.79312517260514,-122.45062508233028,423.91296,3,0.0942367977393761,0.6951863807524004,0.6044204368296502,0.3434531111029222
37.79312517260514,-122.44979174903028,336.55225,3,0.110520477877532,0.6868620397657796,0.5982737979615494,0.3374135805563709
37.79312517260514,-122.44895841573027,335.83463,3,0.1111349995769004,0.6866916326524676,0.5981480882553695,0.3372895831053164
37.79312517260514,-122.44812508243028,733.4,3,0.059506804630531,0.7023037292712432,0.6096846142276082,0.348590302966718
37.79312517260514,-122.44729174913026,733.4,3,0.0597220141680169,0.702302524506814,0.6096837224806697,0.3485894353975142
37.79312517260514,-122.44645841583024,733.4,3,0.0599382470210399,0.7023013174191868,0.6096828290143642,0.3485885661546672
37.79312517260514,-122.44562508253024,733.4,3,0.0601555054858821,0.7023001080295543,0.6096819338443794,0.3485876952534346
37.79312517260514,-122.44479174923023,733.4,3,0.0608919139565469,0.7022988963595935,0.6096810369867616,0.3485868227094221
37.79312517260514,-122.44395841593024,733.4,3,0.0611131123665512,0.7022976824314701,0.6096801384579186,0.3485859485385882
37.79312517260514,-122.44312508263022,733.4,3,0.0613353516494391,0.7022964662678461,0.6096792382746258,0.3485850727572481
37.79312517260514,-122.4422917493302,733.4,3,0.0615586337868437,0.7022952478918857,0.6096783364540302,0.3485841953820792
37.79312517260514,-122.4414584160302,733.4,3,0.0617829606702605,0.7022940273272613,0.609677433013655,0.3485833164301245
37.79312517260514,-122.4406250827302,733.4,3,0.0620083340982831,0.70229280459816,0.6096765279714041,0.3485824359187981
37.79312517260514,-122.4397917494302,733.4,3,0.0622347557738088,0.7022915797292905,0.609675621345568,0.3485815538658894
37.79312517260514,-122.43895841613018,733.4,3,0.0624622273012235,0.7022903527458885,0.6096747131548267,0.3485806702895677
37.79312517260514,-122.43812508283015,401.86407,3,0.1055360589181288,0.6933139040185419,0.6030368371987072,0.342097562819164
37.79312517260514,-122.43729174953016,400.2622,3,0.1061029891057686,0.6932120702191422,0.6029616068601735,0.3420237929590667
37.79312517260514,-122.43645841623017,400.21106,3,0.1064845667865469,0.6931909763353559,0.6029460238334262,0.3420085116137103
37.79312517260514,-122.43562508293014,733.4,3,0.0633826404034735,0.7022854241905132,0.6096710651303614,0.3485771211271039
37.79312517260514,-122.43479174963014,733.4,3,0.0630725934191805,0.7022841870319166,0.6096701494093104,0.348576230219889
37.79312517260514,-122.43395841633011,733.4,3,0.063304397009113,0.702282947921652,0.6096692322439107,0.3485753379065225
37.79312517260514,-122.43312508303012,733.4,3,0.0635372496427001,0.7022817068888334,0.6096683136557126,0.3485744442079667
37.79312517260514,-122.43229174973013,733.4,3,0.0637711520202089,0.7022804639631555,0.609667393666697,0.3485735491456023
37.79312517260514,-122.4314584164301,733.4,3,0.0640061047161194,0.7022792191749008,0.6096664722992793,0.3485726527412332
37.79312517260514,-122.4306250831301,733.4,3,0.0642422663740032,0.7022779717205607,0.60966554895872,0.3485717544162281
37.79312517260514,-122.42979174983007,733.4,3,0.0644884185546484,0.7022766754659859,0.6096645894974666,0.3485708209481155
37.79312517260514,-122.42895841653008,733.4,3,0.0647357977901471,0.7022753768152189,0.6096636282628622,0.3485698857536609
37.79312517260514,-122.42812508323009,733.4,3,0.0649844068852844,0.7022740757950344,0.6096626652747265,0.3485689488521411
37.79312517260514,-122.42729174993006,733.4,3,0.0652342485368181,0.7022727724328054,0.6096617005533216,0.348568010263264
37.79312517260514,-122.42645841663006,733.4,3,0.0654853253298954,0.7022714667565099,0.6096607341193577,0.3485670700071731
37.79312517260514,-122.42562508333005,733.4,3,0.06573763973442,0.7022701587947393,0.6096597659939992,0.3485661281044538
37.79312517260514,-122.42479175003004,733.4,3,0.0668220039433838,0.7022688485767067,0.6096587961988701,0.3485651845761392
37.79312517260514,-122.42395841673004,733.4,3,0.0670800083147504,0.7022675361322541,0.6096578247560603,0.3485642394437153
37.79312517260514,-122.42312508343002,312.91895,3,0.1367184303796359,0.681863728629832,0.5945885287929206,0.3337703190052216
37.79312517260514,-122.42229175013,312.14194,3,0.1372248597050386,0.6818166949879801,0.5945538705009629,0.3337359744418582
37.79312517260514,-122.42145841683,311.35464,3,0.1380614670178432,0.6815919667230024,0.5943882771742923,0.3335718589136484
37.79312517260514,-122.42062508353,311.05753,3,0.1385735589657569,0.6815443906102342,0.5943532213132608,0.333537111408649
37.79312517260514,-122.41979175023,312.21423,3,0.1387580865650817,0.681675150984062,0.5944495713636753,0.3336326101787509
37.79312517260514,-122.41895841692998,313.30206,3,0.1389450285094079,0.6818051501490084,0.594545363361809,0.3337275440755325
37.79312517260514,-122.41812508362996,733.4,3,0.0689214196422151,0.702258289323983,0.6096509804774797,0.3485575805044195
37.79312517260514,-122.41729175032997,733.4,3,0.0691895515866641,0.7022569602206982,0.6096499967063468,0.3485566233689536
37.79312517260514,-122.41645841702996,733.4,3,0.0694589553826307,0.7022556291892432,0.6096490115083025,0.3485556648441241
37.79312517260514,-122.41562508372996,733.4,3,0.0697296318090861,0.702254296266207,0.6096480249104304,0.3485547049562764
37.79312517260514,-122.41479175042994,733.4,3,0.070983456709861,0.7022529614888997,0.6096470369403475,0.3485537437322752
37.79312517260514,-122.41395841712992,733.4,3,0.0712605123963888,0.7022516248953613,0.6096460476262113,0.3485527811995114
37.79312517260514,-122.41312508382993,733.4,3,0.0715388598603133,0.7022502865243706,0.6096450569967262,0.3485518173859075
